"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2018', 'Quantity')","('Jul 2018', 'FOB (Baht)')","('Jan - Jul 2018', 'Quantity')","('Jan - Jul 2018', 'FOB (Baht)')"
AO,ANGOLA,0,0,262300,10155501
AU,AUSTRALIA,1194450,50438305,8006225,328495190
BD,BANGLADESH,273000,11739383,2416500,96523610
BE,BELGIUM,0,0,416000,16100743
BR,BRAZIL,0,0,14200,697346
BN,BRUNEI DARUSSALAM,0,0,3500,147499
KH,CAMBODIA,584625,26558565,3519950,163021367
CM,CAMEROON,17500,669504,52500,2011420
CA,CANADA,200900,9972688,1402650,67571790
CL,CHILE,0,0,50,18785
CN,CHINA,22114535,916333476,148823956,6063592123
CG,CONGO,0,0,49000,2042560
CI,COTE D IVOIRE,0,0,1287500,49549346
CU,CUBA,0,0,12000,687210
DJ,DJIBOUTI,364500,14711373,1275500,50671264
FJ,FIJI,58675,3199469,580850,29075775
FI,FINLAND,0,0,48000,2208469
FR,FRANCE,22000,1046591,286000,13477847
PF,FRENCH POLYNESIA,13450,654104,121950,5585077
GA,GABON,13500,641297,41000,1921663
DE,GERMANY,231875,10790186,1823075,87474112
GH,GHANA,332500,12717739,1934500,73728649
IN,INDIA,359350,17413896,2635500,120504093
ID,INDONESIA,5335100,222819735,26694450,1083021770
IE,IRELAND,70000,3076282,140000,6097441
IL,ISRAEL,1359250,60971443,9899225,429469777
JP,JAPAN,1999475,81178165,12694246,507401400
KZ,KAZAKHSTAN,51000,2066871,269500,10834346
KE,KENYA,0,0,141975,7210731
KR,"KOREA,REPUBLIC OF",17140,1883883,124065,13190808
LA,LAO PDR,124000,4453195,845597,30206085
LV,LATVIA,0,0,43500,1964642
LT,LITHUANIA,400,21463,72400,3666860
MG,MADAGASCAR,27500,1322272,191500,8986770
MY,MALAYSIA,3428950,143150749,20439050,841575860
ML,MALI,0,0,162000,7693802
MU,MAURITIUS,70000,3698308,615575,30629632
MX,MEXICO,0,0,6400,827208
MZ,MOZAMBIQUE,35000,1398177,275050,11359093
MM,MYANMAR,676125,26023204,1755300,73284099
NP,NEPAL,0,0,49500,1870977
NL,NETHERLANDS,22000,1014957,280500,13531043
NC,NEW CALEDONIA,13750,659778,155750,6692127
NZ,NEW ZEALAND,414250,20953257,3696360,169119837
NG,NIGERIA,0,0,65000,2622396
PK,PAKISTAN,9300,490808,276425,12237578
PG,PAPUA NEW GUINEA,14000,567376,302800,14725627
PH,PHILIPPINES,168675,7458136,3211100,130698616
PL,POLAND,114000,5271794,316500,14270573
PT,PORTUGAL,0,0,150000,5938094
QA,QATAR,0,0,25500,1160794
RE,REUNION,13500,678249,226000,11031629
RU,RUSSIAN FEDERATION,477000,19486039,2198650,96136141
WS,SAMOA,0,0,26000,1385511
SA,SAUDI ARABIA,0,0,17500,710700
SN,SENEGAL,69600,3540104,373700,16229067
SL,SIERRA LEONE,0,0,13500,654738
SG,SINGAPORE,49500,2111418,299375,12418778
SI,SLOVENIA,0,0,198000,7917693
SB,SOLOMON ISLANDS,0,0,14200,760279
SO,SOMALIA,14200,770799,14200,770799
ZA,SOUTH AFRICA,243000,10069145,3831625,155025136
ES,SPAIN,0,0,49500,2023650
LK,SRI LANKA,175500,7278011,1032575,41786416
SE,SWEDEN,47900,2653995,224550,11778350
SY,SYRIAN ARAB REPUBLIC,124500,6683368,226500,11171686
TW,"TAIWAN, PROVINCE OF CHINA",10045,553540,359820,20162730
TG,TOGO,0,0,1120000,42573750
TR,TÜRKIYE,26200,1335934,251650,12787951
UA,UKRAINE,52500,2240213,1049475,44105590
AE,UNITED ARAB EMIRATES,96500,4054633,1115800,47947347
GB,UNITED KINGDOM,0,0,35000,1466742
US,UNITED STATES,0,0,41100,1844481
VN,VIETNAM,3806550,155594327,27613255,1096036309
SUM,SUM,44937270,1882416204,298243949,12262274898
