"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2013', 'Quantity')","('Jul 2013', 'FOB (Baht)')","('Jan - Jul 2013', 'Quantity')","('Jan - Jul 2013', 'FOB (Baht)')"
CN,CHINA,0,0,15650,988366
FR,FRANCE,0,0,2,59
HK,HONG KONG,0,0,100,5991
ID,INDONESIA,81000,5459480,453848,30267221
JP,JAPAN,200,14220,13730,1053087
KR,"KOREA,REPUBLIC OF",0,0,1200,97368
MY,MALAYSIA,14000,949468,224100,14581492
SG,SINGAPORE,0,0,1,102
ZA,SOUTH AFRICA,15000,1300999,53000,4135894
TW,"TAIWAN, PROVINCE OF CHINA",0,0,2850,164794
US,UNITED STATES,0,0,4,118
VN,VIETNAM,0,0,1200,359203
SUM,SUM,110200,7724167,765685,51653695
