"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2021', 'Quantity')","('Oct 2021', 'FOB (Baht)')","('Jan - Oct 2021', 'Quantity')","('Jan - Oct 2021', 'FOB (Baht)')"
CN,CHINA,1300,58351,345714,12251230
HK,HONG KONG,0,0,74000,3233532
IN,INDIA,150625,18840253,770725,93722351
ID,INDONESIA,40000,4018234,486425,28462183
KR,"KOREA,REPUBLIC OF",1000,116070,10000,1014275
MX,MEXICO,0,0,99000,5796759
PK,PAKISTAN,0,0,1450,77635
PH,PHILIPPINES,40,7637,205,58674
VN,VIETNAM,3000,176564,96175,4055424
SUM,SUM,195965,23217109,1883694,148672063
