"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2019', 'Quantity')","('Dec 2019', 'FOB (Baht)')","('Jan - Dec 2019', 'Quantity')","('Jan - Dec 2019', 'FOB (Baht)')"
AU,AUSTRALIA,35640,2669603,394790,29479257
BD,BANGLADESH,10000,690628,82175,4017884
KH,CAMBODIA,0,0,38000,1578092
CM,CAMEROON,38000,227524,38000,227524
CN,CHINA,11499382,166712156,261083099,2892558194
DK,DENMARK,0,0,3,292
DJ,DJIBOUTI,0,0,50,7115
FJ,FIJI,0,0,59650,1702778
DE,GERMANY,0,0,1001,9355
GH,GHANA,32500,708318,48750,1063385
HK,HONG KONG,25900,199203,324157,3791389
IN,INDIA,94600,4023261,1367911,52904583
ID,INDONESIA,47534,2486240,1099573,50553968
IT,ITALY,3500,110974,3550,112484
JP,JAPAN,64651,2452406,587824,30950535
KR,"KOREA,REPUBLIC OF",200,5987,44281,2812669
LA,LAO PDR,0,0,47559,2916933
MW,MALAWI,0,0,52000,1248587
MY,MALAYSIA,21650,1732934,686565,44718731
MU,MAURITIUS,0,0,2000,326023
MZ,MOZAMBIQUE,0,0,56000,1400988
MM,MYANMAR,0,0,125628,5168772
NL,NETHERLANDS,0,0,2,1036
NZ,NEW ZEALAND,11825,867663,182800,13610302
NG,NIGERIA,0,0,238000,5153554
PK,PAKISTAN,50,4664,2325,195188
PH,PHILIPPINES,0,0,82500,7947839
PL,POLAND,0,0,528,88228
PT,PORTUGAL,0,0,5,315
RU,RUSSIAN FEDERATION,300,52091,900,160608
SA,SAUDI ARABIA,0,0,16800,1194423
SG,SINGAPORE,15975,1568187,82149,5551530
SI,SLOVENIA,159870,3850672,249510,6395256
ZA,SOUTH AFRICA,0,0,15400,2333680
LK,SRI LANKA,0,0,3000,455675
TW,"TAIWAN, PROVINCE OF CHINA",195000,8634820,1491619,61468072
TZ,TANZANIA UNITED REPUBLIC OF,8000,170643,8000,170643
TR,TÜRKIYE,8000,1168427,20100,3051230
UA,UKRAINE,0,0,17000,809766
AE,UNITED ARAB EMIRATES,0,0,2500,348095
GB,UNITED KINGDOM,0,0,3,189
US,UNITED STATES,52,730,1123,41656
UY,URUGUAY,400,71999,400,71999
VN,VIETNAM,41130,3437151,1296017,64730650
ZM,ZAMBIA,0,0,104000,2518388
SUM,SUM,12314159,201846281,269957247,3303847860
