"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2012', 'Quantity')","('Sept 2012', 'FOB (Baht)')","('Jan - Sept 2012', 'Quantity')","('Jan - Sept 2012', 'FOB (Baht)')"
BE,BELGIUM,0,0,52,2068
KH,CAMBODIA,26208,5252300,32352,6471900
CN,CHINA,0,0,550,52854
DE,GERMANY,0,0,1,31
GH,GHANA,0,0,9200,267386
HK,HONG KONG,0,0,2,610
IN,INDIA,0,0,50,5092
ID,INDONESIA,0,0,2209,115823
JP,JAPAN,7,704,133,10736
KE,KENYA,400,12480,13900,880495
KR,"KOREA,REPUBLIC OF",0,0,725,13673
MY,MALAYSIA,19,249,19,249
NC,NEW CALEDONIA,0,0,1,600
NG,NIGERIA,0,0,15250,1014907
PH,PHILIPPINES,13,3120,13,3120
SN,SENEGAL,0,0,45000,3023505
SG,SINGAPORE,0,0,44000,2004895
ZA,SOUTH AFRICA,0,0,1,153
LK,SRI LANKA,3040,225048,37661,1780997
CH,SWITZERLAND,0,0,25,833
TW,"TAIWAN, PROVINCE OF CHINA",0,0,38,3188
US,UNITED STATES,0,0,0,9
VN,VIETNAM,0,0,2000,1180000
SUM,SUM,29687,5493901,203182,16833124
