"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2022', 'Quantity')","('Jun 2022', 'FOB (Baht)')","('Jan - Jun 2022', 'Quantity')","('Jan - Jun 2022', 'FOB (Baht)')"
AR,ARGENTINA,0,0,116250,8356794
AU,AUSTRALIA,45380,4116525,181825,15120003
BD,BANGLADESH,8800,1154905,26300,1832827
KH,CAMBODIA,0,0,26040,1574124
CN,CHINA,6572892,87725255,37155623,580193651
FJ,FIJI,0,0,15000,935495
DE,GERMANY,75,23806,403525,44356861
HK,HONG KONG,0,0,150,27612
IN,INDIA,454575,14060784,2802525,107110547
ID,INDONESIA,193950,9409148,852252,40197948
IT,ITALY,0,0,10,328
JP,JAPAN,10292,1360580,234862,16226826
KE,KENYA,0,0,25000,845697
KR,"KOREA,REPUBLIC OF",30969,211051,1377838,7340366
LA,LAO PDR,0,0,36221,2871759
MY,MALAYSIA,392675,7883651,636231,33081596
MV,MALDIVES,4,200,4,200
MU,MAURITIUS,0,0,1000,165503
MM,MYANMAR,0,0,20000,1123664
NP,NEPAL,0,0,10000,1495462
NZ,NEW ZEALAND,0,0,3325,375339
PH,PHILIPPINES,16675,1923739,34675,3989780
SG,SINGAPORE,16575,2042352,69094,8684659
SI,SLOVENIA,95980,3595118,809950,29028978
ZA,SOUTH AFRICA,0,0,112000,3314015
TW,"TAIWAN, PROVINCE OF CHINA",53600,2594857,488075,22882359
TR,TÜRKIYE,0,0,20002,3023190
AE,UNITED ARAB EMIRATES,18500,836452,69975,5741944
US,UNITED STATES,19500,233202,161706,5389571
VN,VIETNAM,52050,5837495,340143,31635697
SUM,SUM,7982492,143009120,46029601,976922795
