"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2022', 'Quantity')","('Jun 2022', 'FOB (Baht)')","('Jan - Jun 2022', 'Quantity')","('Jan - Jun 2022', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,66980,6502400
CN,CHINA,289000,5414463,490900,16405597
HK,HONG KONG,1,41,1,41
IN,INDIA,5325,611437,23350,1660866
ID,INDONESIA,0,0,414,336717
LA,LAO PDR,550,29000,4154,405034
MY,MALAYSIA,0,0,1000,65515
NZ,NEW ZEALAND,0,0,100,7264
SG,SINGAPORE,0,0,7000,1065106
TW,"TAIWAN, PROVINCE OF CHINA",0,0,36000,1371202
VN,VIETNAM,500,54247,3000,322341
SUM,SUM,295376,6109188,632899,28142083
