"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2022', 'Quantity')","('Jun 2022', 'FOB (Baht)')","('Jan - Jun 2022', 'Quantity')","('Jan - Jun 2022', 'FOB (Baht)')"
AU,AUSTRALIA,32000,1497960,64000,2755851
BH,BAHRAIN,0,0,38700,1015297
CA,CANADA,0,0,16000,685937
IN,INDIA,99000,4917505,445500,20305024
ID,INDONESIA,49500,2420176,445500,21077996
MY,MALAYSIA,1000,58531,25750,1087871
MM,MYANMAR,31440,927480,61440,2236185
ZA,SOUTH AFRICA,0,0,49300,2573160
VN,VIETNAM,0,0,50,2112
SUM,SUM,212940,9821652,1146240,51739433
