"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2014', 'Quantity')","('Jun 2014', 'FOB (Baht)')","('Jan - Jun 2014', 'Quantity')","('Jan - Jun 2014', 'FOB (Baht)')"
JP,JAPAN,0,0,1000,47066
PH,PHILIPPINES,36400,2652087,136825,10816092
SG,SINGAPORE,175,16933,200,19334
US,UNITED STATES,400,29619,400,29619
SUM,SUM,36975,2698639,138425,10912111
