"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2019', 'Quantity')","('Jun 2019', 'FOB (Baht)')","('Jan - Jun 2019', 'Quantity')","('Jan - Jun 2019', 'FOB (Baht)')"
AU,AUSTRALIA,746250,26074456,4995900,185629729
BH,BAHRAIN,0,0,147000,5502490
BD,BANGLADESH,374000,12580713,3059600,104268596
KH,CAMBODIA,1119000,46753573,4543550,184798080
CA,CANADA,92000,3861490,626825,26371244
CN,CHINA,34772965,1117552163,236568265,8206723976
CI,COTE D IVOIRE,56000,2134590,168000,6415457
DJ,DJIBOUTI,35000,1188101,2112675,72895475
FJ,FIJI,17000,548190,73200,2665373
FR,FRANCE,0,0,65025,3072409
PF,FRENCH POLYNESIA,55000,2274959,189000,7909193
GA,GABON,13500,573387,27000,1131940
DE,GERMANY,231950,10262182,1299525,57346943
GH,GHANA,822500,24569766,1137500,34715269
GT,GUATEMALA,0,0,175500,6874959
IN,INDIA,213625,10161533,1490300,63312486
ID,INDONESIA,4872825,161656191,26849050,915836583
IE,IRELAND,0,0,140000,5181828
IL,ISRAEL,1037300,39809622,5928400,226622342
JP,JAPAN,2195750,75729328,11781680,414552674
KZ,KAZAKHSTAN,68000,2235756,374000,12948464
KE,KENYA,104900,4772717,496100,22836230
KR,"KOREA,REPUBLIC OF",18025,1946872,117250,12588803
LA,LAO PDR,103000,3042395,885690,29479939
LY,LIBYAN ARAB JAMAHIRIYA,0,0,14200,712298
LT,LITHUANIA,0,0,25500,1407017
MG,MADAGASCAR,28000,1114274,136400,5934179
MY,MALAYSIA,1712750,58928565,14046000,496713283
MV,MALDIVES,9500,325792,9829,388071
ML,MALI,0,0,54000,2255067
MU,MAURITIUS,70375,3070535,613600,28606798
MX,MEXICO,5000,621598,5000,621598
MZ,MOZAMBIQUE,122500,3911467,153950,5219654
MM,MYANMAR,623925,22275294,3016550,106635130
NL,NETHERLANDS,0,0,270000,12523052
NC,NEW CALEDONIA,0,0,49500,1868472
NZ,NEW ZEALAND,588500,23208220,3635300,142794726
NG,NIGERIA,511000,11562894,3299000,73043383
OM,OMAN,0,0,17500,613350
PK,PAKISTAN,3500,158164,59025,2801505
PG,PAPUA NEW GUINEA,35400,1669427,142200,6267146
PH,PHILIPPINES,256000,9494013,1812500,64321432
PL,POLAND,170500,6309659,460500,17619804
RE,REUNION,40500,1693864,185200,8228539
RO,ROMANIA,0,0,24000,972816
RU,RUSSIAN FEDERATION,122400,4665122,438400,16458966
SN,SENEGAL,27425,1216846,205725,8937192
SC,SEYCHELLES,14075,945649,14075,945649
SG,SINGAPORE,20250,1373640,94500,3975659
SO,SOMALIA,0,0,49400,1976485
ZA,SOUTH AFRICA,198500,6961424,439500,15560585
LK,SRI LANKA,13500,540422,194500,7177137
SE,SWEDEN,48000,2345275,165925,7978394
TW,"TAIWAN, PROVINCE OF CHINA",56925,3058033,298725,14764158
TR,TÜRKIYE,25200,1174195,118750,5674610
UA,UKRAINE,93650,3737078,1068150,41799352
AE,UNITED ARAB EMIRATES,55550,2576850,1588700,59893195
GB,UNITED KINGDOM,51500,1797299,104000,3702270
VN,VIETNAM,4257375,143620878,33442650,1120976961
YE,YEMEN,0,0,52800,1998987
SUM,SUM,56110390,1866084461,369556589,12901047402
