"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2021', 'Quantity')","('Sept 2021', 'FOB (Baht)')","('Jan - Sept 2021', 'Quantity')","('Jan - Sept 2021', 'FOB (Baht)')"
AR,ARGENTINA,42000,2940933,468650,32815531
AU,AUSTRALIA,145980,7016685,642820,35091041
BD,BANGLADESH,0,0,307000,11190568
BR,BRAZIL,0,0,2000,105216
BF,BURKINA FASO,0,0,4,469
KH,CAMBODIA,28400,1421492,55500,2603631
CN,CHINA,4679304,65689404,52424426,852271489
DK,DENMARK,0,0,24975,1361138
DJ,DJIBOUTI,0,0,136076,1063160
FJ,FIJI,0,0,28925,1231359
DE,GERMANY,0,0,13000,46597
GH,GHANA,27900,322401,41400,427039
HK,HONG KONG,3675,248153,239231,2064648
IN,INDIA,236765,5117469,1937410,53027342
ID,INDONESIA,249143,10545271,1915584,80604930
IR,IRAN (ISLAMIC REPUBLIC OF),0,0,24750,1233370
IT,ITALY,0,0,15,7680
JP,JAPAN,1691,501988,624563,25144632
KE,KENYA,0,0,25000,194661
KR,"KOREA,REPUBLIC OF",106000,839928,271988,2599160
LA,LAO PDR,7000,364000,68550,4307702
MY,MALAYSIA,40850,3569094,457434,41516583
MU,MAURITIUS,0,0,1100,187017
MM,MYANMAR,34883,2356675,52509,3190737
NP,NEPAL,9500,1222471,43100,6204147
NZ,NEW ZEALAND,2120,157802,67780,5378212
PK,PAKISTAN,16000,1086226,178325,11671739
PG,PAPUA NEW GUINEA,250,41270,250,41270
PH,PHILIPPINES,4750,333734,188320,10300538
PL,POLAND,0,0,104,177877
SG,SINGAPORE,16300,2073804,115595,13278126
SK,SLOVAKIA,180,281296,281,291027
SI,SLOVENIA,299430,9850901,1105350,34259951
ZA,SOUTH AFRICA,27000,1933705,51415,3792195
LK,SRI LANKA,1350,224575,102850,2908755
TW,"TAIWAN, PROVINCE OF CHINA",148800,5990700,1170775,50476278
TR,TÜRKIYE,12008,1846780,43058,4985561
AE,UNITED ARAB EMIRATES,86250,4283930,112225,6247256
GB,UNITED KINGDOM,0,0,3085,539895
US,UNITED STATES,998,36270,33803,2375761
UY,URUGUAY,0,0,600,98018
VN,VIETNAM,12459,912956,605595,50885984
SUM,SUM,6240986,131209913,63585421,1356198290
