"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2022', 'Quantity')","('Nov 2022', 'FOB (Baht)')","('Jan - Nov 2022', 'Quantity')","('Jan - Nov 2022', 'FOB (Baht)')"
DZ,ALGERIA,0,0,30000,988142
AU,AUSTRALIA,0,0,56750,2009160
BD,BANGLADESH,0,0,933500,38484712
BR,BRAZIL,36000,2148474,1186000,67853076
KH,CAMBODIA,2400,127251,478705,23085797
CA,CANADA,0,0,514,2318
CN,CHINA,1328041,17682577,21857772,331558478
CO,COLOMBIA,0,0,100,34418
ET,ETHIOPIA,16000,485531,47675,1519050
FJ,FIJI,0,0,64000,2383233
DE,GERMANY,0,0,3000,493836
GH,GHANA,0,0,68000,3434502
HK,HONG KONG,100,11380,50364,2234415
IN,INDIA,784314,45369072,9864354,532405824
ID,INDONESIA,60970,4524586,8851895,396403883
IT,ITALY,0,0,10,877
JP,JAPAN,1235,198381,1085309,56794855
KE,KENYA,0,0,43450,721975
KR,"KOREA,REPUBLIC OF",25,2845,354489,5421838
LA,LAO PDR,85500,5778937,586925,42285428
MG,MADAGASCAR,0,0,144625,3976296
MY,MALAYSIA,9368,1197320,802899,41723534
MX,MEXICO,0,0,372875,17728492
MM,MYANMAR,240925,7957237,6790665,301139496
NZ,NEW ZEALAND,0,0,15000,769664
NG,NIGERIA,0,0,17000,752828
PK,PAKISTAN,0,0,143775,7145378
PH,PHILIPPINES,19464,2196005,1698864,80767620
PT,PORTUGAL,0,0,51000,2083886
QA,QATAR,0,0,102000,4689954
SG,SINGAPORE,0,0,93618,4350613
SI,SLOVENIA,69340,4220031,395880,20934377
ZA,SOUTH AFRICA,10000,607200,308100,20736040
LK,SRI LANKA,1275,417633,58700,4701413
TW,"TAIWAN, PROVINCE OF CHINA",0,0,121180,11085229
TR,TÜRKIYE,0,0,35800,2233483
AE,UNITED ARAB EMIRATES,0,0,32375,1050904
GB,UNITED KINGDOM,0,0,198742,11309716
US,UNITED STATES,0,0,16553,1873905
VN,VIETNAM,46000,3599115,4552200,215190242
SUM,SUM,2710957,96523575,61514663,2262358887
