"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2019', 'Quantity')","('Dec 2019', 'FOB (Baht)')","('Jan - Dec 2019', 'Quantity')","('Jan - Dec 2019', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,69,43183
BN,BRUNEI DARUSSALAM,0,0,60,5283
KH,CAMBODIA,8960,376600,43006,1806040
CN,CHINA,101,7484,597525,12887626
DK,DENMARK,0,0,74,10114
DE,GERMANY,0,0,44,5608
HK,HONG KONG,0,0,24,7180
IN,INDIA,101500,3717256,1210500,46768825
ID,INDONESIA,7,10604,826,713811
IT,ITALY,74,10114,148,20228
JP,JAPAN,222,30342,642,105359
KR,"KOREA,REPUBLIC OF",0,0,610,60879
LA,LAO PDR,202,79387,110014,9213660
MY,MALAYSIA,0,0,0,327
MM,MYANMAR,14,2370,363,123385
NG,NIGERIA,0,0,60000,2998356
NO,NORWAY,148,20228,185,25285
SG,SINGAPORE,4200,261906,7322,471277
ZA,SOUTH AFRICA,0,0,52,14953
LK,SRI LANKA,0,0,9000,445445
TZ,TANZANIA UNITED REPUBLIC OF,0,0,10000,510406
AE,UNITED ARAB EMIRATES,47,6321,84,11378
US,UNITED STATES,200,28740,400,57798
VN,VIETNAM,5700,224028,7374,432439
SUM,SUM,121375,4775380,2058322,76738845
