"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2023', 'Quantity')","('Jan 2023', 'FOB (Baht)')","('Jan - Jan 2023', 'Quantity')","('Jan - Jan 2023', 'FOB (Baht)')"
BD,BANGLADESH,80000,2399505,80000,2399505
BE,BELGIUM,120000,14672550,120000,14672550
CN,CHINA,277608,13989736,277608,13989736
IN,INDIA,366600,36856778,366600,36856778
ID,INDONESIA,252315,24342284,252315,24342284
JP,JAPAN,19964,1040006,19964,1040006
KR,"KOREA,REPUBLIC OF",23000,2680773,23000,2680773
LA,LAO PDR,353,67994,353,67994
MY,MALAYSIA,56950,7124139,56950,7124139
MM,MYANMAR,306,37350,306,37350
NG,NIGERIA,3000,226290,3000,226290
PH,PHILIPPINES,3975,401237,3975,401237
ZA,SOUTH AFRICA,235500,21943727,235500,21943727
TW,"TAIWAN, PROVINCE OF CHINA",16000,1956945,16000,1956945
VN,VIETNAM,64538,5869577,64538,5869577
SUM,SUM,1520109,133608891,1520109,133608891
