"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2020', 'Quantity')","('Jun 2020', 'FOB (Baht)')","('Jan - Jun 2020', 'Quantity')","('Jan - Jun 2020', 'FOB (Baht)')"
CN,CHINA,10850,1255126,13150,1665810
HK,HONG KONG,500,36521,7675,421145
ID,INDONESIA,2000,254443,110525,14420046
KR,"KOREA,REPUBLIC OF",0,0,58500,6444291
LA,LAO PDR,0,0,42000,1275000
MY,MALAYSIA,0,0,1000,113414
PK,PAKISTAN,0,0,256600,19426117
PH,PHILIPPINES,0,0,100425,4883123
US,UNITED STATES,0,0,19400,929123
VN,VIETNAM,32000,1389900,255000,12840372
SUM,SUM,45350,2935990,864275,62418441
