"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2022', 'Quantity')","('Feb 2022', 'FOB (Baht)')","('Jan - Feb 2022', 'Quantity')","('Jan - Feb 2022', 'FOB (Baht)')"
AU,AUSTRALIA,43527,6877303,74727,11519878
BD,BANGLADESH,600,32935,600,32935
CN,CHINA,7877,563810,8532,603550
FI,FINLAND,0,0,2,4525
FR,FRANCE,144,4194,191,13738
HK,HONG KONG,0,0,1,66
IN,INDIA,502,31304,1502,202896
ID,INDONESIA,3000,215681,6500,484292
IE,IRELAND,0,0,2,1249
IL,ISRAEL,0,0,1,133
JP,JAPAN,102192,4652057,188148,8648484
KR,"KOREA,REPUBLIC OF",10050,843760,17051,1365526
MY,MALAYSIA,9600,1226617,9600,1226617
NO,NORWAY,0,0,1,374
PL,POLAND,17,598,17,598
SG,SINGAPORE,0,0,10,4567
CH,SWITZERLAND,0,0,28,2246
TW,"TAIWAN, PROVINCE OF CHINA",1,164,1,164
TR,TÜRKIYE,3000,492366,3000,492366
AE,UNITED ARAB EMIRATES,0,0,142,95366
GB,UNITED KINGDOM,0,0,62,2938
US,UNITED STATES,2,1314,297,155477
VN,VIETNAM,24,131,24,131
SUM,SUM,180536,14942234,310439,24858116
