"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2018', 'Quantity')","('Jul 2018', 'FOB (Baht)')","('Jan - Jul 2018', 'Quantity')","('Jan - Jul 2018', 'FOB (Baht)')"
CN,CHINA,29425,3286052,81675,9116974
HK,HONG KONG,0,0,3150,187943
IN,INDIA,8000,862704,22000,2310067
ID,INDONESIA,26025,3734078,127450,17831761
JP,JAPAN,4000,332362,6922,585448
KR,"KOREA,REPUBLIC OF",36000,3545193,240400,22714837
LA,LAO PDR,13000,615000,108000,5054250
PK,PAKISTAN,1500,135684,8000,691788
PH,PHILIPPINES,4000,316115,94000,5339715
ZA,SOUTH AFRICA,0,0,39200,2843772
TW,"TAIWAN, PROVINCE OF CHINA",0,0,12500,1453903
US,UNITED STATES,0,0,30500,1748181
VN,VIETNAM,86000,4760340,320000,17184732
SUM,SUM,207950,17587528,1093797,87063371
