"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2022', 'Quantity')","('Oct 2022', 'FOB (Baht)')","('Jan - Oct 2022', 'Quantity')","('Jan - Oct 2022', 'FOB (Baht)')"
DZ,ALGERIA,30000,988142,30000,988142
AU,AUSTRALIA,0,0,56750,2009160
BD,BANGLADESH,0,0,933500,38484712
BR,BRAZIL,106000,6617054,1150000,65704602
KH,CAMBODIA,4000,612159,476305,22958546
CA,CANADA,0,0,514,2318
CN,CHINA,1497335,23004529,20529731,313875901
CO,COLOMBIA,0,0,100,34418
ET,ETHIOPIA,0,0,31675,1033519
FJ,FIJI,0,0,64000,2383233
DE,GERMANY,0,0,3000,493836
GH,GHANA,0,0,68000,3434502
HK,HONG KONG,11,552,50264,2223035
IN,INDIA,1114842,70899279,9080040,487036752
ID,INDONESIA,14175,1471451,8790925,391879297
IT,ITALY,0,0,10,877
JP,JAPAN,17362,1488408,1084074,56596474
KE,KENYA,0,0,43450,721975
KR,"KOREA,REPUBLIC OF",4552,241468,354464,5418993
LA,LAO PDR,54500,4503054,501425,36506491
MG,MADAGASCAR,64475,1861865,144625,3976296
MY,MALAYSIA,63132,3074223,793531,40526214
MX,MEXICO,72000,3043647,372875,17728492
MM,MYANMAR,149500,6492799,6549740,293182259
NZ,NEW ZEALAND,0,0,15000,769664
NG,NIGERIA,0,0,17000,752828
PK,PAKISTAN,0,0,143775,7145378
PH,PHILIPPINES,8165,746361,1679400,78571615
PT,PORTUGAL,0,0,51000,2083886
QA,QATAR,0,0,102000,4689954
SG,SINGAPORE,0,0,93618,4350613
SI,SLOVENIA,0,0,326540,16714346
ZA,SOUTH AFRICA,10000,543200,298100,20128840
LK,SRI LANKA,0,0,57425,4283780
TW,"TAIWAN, PROVINCE OF CHINA",0,0,121180,11085229
TR,TÜRKIYE,0,0,35800,2233483
AE,UNITED ARAB EMIRATES,0,0,32375,1050904
GB,UNITED KINGDOM,0,0,198742,11309716
US,UNITED STATES,0,0,16553,1873905
VN,VIETNAM,181150,14496430,4506200,211591127
SUM,SUM,3391199,140084621,58803706,2165835312
