"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2018', 'Quantity')","('Mar 2018', 'FOB (Baht)')","('Jan - Mar 2018', 'Quantity')","('Jan - Mar 2018', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,15,10069
KH,CAMBODIA,10288,147123,10672,167523
CN,CHINA,50,6421,26577,653745
IN,INDIA,186000,7332066,426000,17709477
ID,INDONESIA,149,277127,246,452968
IE,IRELAND,7,13185,7,13185
IT,ITALY,38,5057,38,5057
JP,JAPAN,0,0,299,40460
LA,LAO PDR,50,3000,1300,140923
MY,MALAYSIA,1,94,41,1392
MM,MYANMAR,2000,50000,2000,50000
NO,NORWAY,0,0,77,10146
SG,SINGAPORE,1000,59787,1000,59787
LK,SRI LANKA,0,0,24750,1032637
CH,SWITZERLAND,0,0,75,10114
TW,"TAIWAN, PROVINCE OF CHINA",224,30342,224,30342
SUM,SUM,199807,7924202,493321,20387825
