"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2019', 'Quantity')","('Oct 2019', 'FOB (Baht)')","('Jan - Oct 2019', 'Quantity')","('Jan - Oct 2019', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,45000,2112319
BD,BANGLADESH,238000,10781550,1530000,70872469
BE,BELGIUM,0,0,300,1018966
KH,CAMBODIA,0,0,1320,132640
CN,CHINA,5411500,249709032,77673308,3722045911
HK,HONG KONG,0,0,1,306
IN,INDIA,4138000,189032903,17413500,806673761
ID,INDONESIA,164950,7549073,1286344,60926737
JP,JAPAN,0,0,24252,1411516
LA,LAO PDR,20,6253,40,49351
MY,MALAYSIA,22728,1458343,104986,6368553
MM,MYANMAR,0,0,14020,899446
PK,PAKISTAN,17000,758241,210500,9925875
PH,PHILIPPINES,0,0,24755,1790196
SC,SEYCHELLES,0,0,1600,198000
SG,SINGAPORE,15000,714956,30620,1496536
LK,SRI LANKA,0,0,17000,789737
TW,"TAIWAN, PROVINCE OF CHINA",0,0,69000,3366813
AE,UNITED ARAB EMIRATES,0,0,24150,1146001
US,UNITED STATES,0,0,162000,7837890
VN,VIETNAM,97000,4968066,889090,43455614
SUM,SUM,10104198,464978417,99521786,4742518637
