"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2022', 'Quantity')","('Jun 2022', 'FOB (Baht)')","('Jan - Jun 2022', 'Quantity')","('Jan - Jun 2022', 'FOB (Baht)')"
AU,AUSTRALIA,2000,118003,56750,2009160
BD,BANGLADESH,0,0,884000,36943793
BR,BRAZIL,140000,7892993,675000,36495215
KH,CAMBODIA,3350,451131,462650,20890940
CN,CHINA,2214356,27715483,12562789,194474962
FJ,FIJI,0,0,32000,1227947
DE,GERMANY,0,0,3000,493760
GH,GHANA,0,0,68000,3434502
HK,HONG KONG,0,0,49403,2161286
IN,INDIA,988234,48680379,5403170,270793116
ID,INDONESIA,71376,4795326,8714266,384887162
JP,JAPAN,7200,819358,1015493,48038926
KE,KENYA,27200,185878,43450,721975
KR,"KOREA,REPUBLIC OF",3108,54095,294763,4081013
LA,LAO PDR,46000,3563490,237350,17384108
MY,MALAYSIA,36837,2284196,545377,26950307
MX,MEXICO,96000,4031006,132900,7480917
MM,MYANMAR,619000,27813412,5204490,235209018
NZ,NEW ZEALAND,0,0,15000,769664
NG,NIGERIA,0,0,17000,752828
PK,PAKISTAN,14475,1003982,132675,6133234
PH,PHILIPPINES,144,45821,1609556,70694721
PT,PORTUGAL,0,0,51000,2083886
QA,QATAR,0,0,102000,4689954
SG,SINGAPORE,0,0,93618,4350613
SI,SLOVENIA,0,0,185130,8539996
ZA,SOUTH AFRICA,64000,3706226,202000,11262840
LK,SRI LANKA,0,0,57075,4156605
TW,"TAIWAN, PROVINCE OF CHINA",15000,1247947,75880,6793359
TR,TÜRKIYE,0,0,35800,2233483
AE,UNITED ARAB EMIRATES,32375,1050904,32375,1050904
GB,UNITED KINGDOM,49214,3042188,149106,8159973
US,UNITED STATES,16000,1864250,16541,1872147
VN,VIETNAM,152900,9433440,3844150,167027998
SUM,SUM,4598769,149799508,43003757,1594250312
