"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2023', 'Quantity')","('Mar 2023', 'FOB (Baht)')","('Jan - Mar 2023', 'Quantity')","('Jan - Mar 2023', 'FOB (Baht)')"
AO,ANGOLA,51000,2121534,51000,2121534
AU,AUSTRALIA,1129190,44961331,3233250,123734971
BD,BANGLADESH,664500,27574862,2023000,79774692
BR,BRAZIL,34000,1419777,34000,1419777
BN,BRUNEI DARUSSALAM,7000,304712,7000,304712
KH,CAMBODIA,580000,22390774,1058400,39338200
CM,CAMEROON,49500,2132786,49500,2132786
CA,CANADA,120000,4721793,216000,8388586
CL,CHILE,500,22027,500,22027
CN,CHINA,10108760,383779503,25971352,986167033
CG,CONGO,17000,718771,17000,718771
CI,COTE D IVOIRE,192500,7515471,192500,7515471
DJ,DJIBOUTI,368000,14199648,805750,29840184
FJ,FIJI,117000,5065839,409050,16987784
PF,FRENCH POLYNESIA,18000,785602,52500,2001996
DE,GERMANY,67500,4086305,214600,10450778
HK,HONG KONG,25500,961736,204000,7455620
IN,INDIA,794000,31707201,4935251,184539971
ID,INDONESIA,7779025,293855002,22867650,836102227
IL,ISRAEL,147000,5954411,147000,5954411
JP,JAPAN,1400550,60823393,3976431,178122469
KZ,KAZAKHSTAN,0,0,51000,1941450
KE,KENYA,50000,1892400,50000,1892400
KR,"KOREA,REPUBLIC OF",439000,18098858,1162750,46897647
LA,LAO PDR,191500,7659535,1420500,55093387
LT,LITHUANIA,247500,9915921,548000,20870009
MY,MALAYSIA,1347695,51915842,2893245,112135424
MU,MAURITIUS,24000,1104844,87500,3810910
MM,MYANMAR,2418154,93883846,6801960,250806160
NP,NEPAL,35000,1145669,69575,2228704
NL,NETHERLANDS,0,0,72000,3659418
NZ,NEW ZEALAND,55940,2554330,281500,13101711
NG,NIGERIA,175000,6683071,175000,6683071
PK,PAKISTAN,100000,3992111,100000,3992111
PH,PHILIPPINES,1061500,41142278,5316825,193513828
PT,PORTUGAL,241500,9877817,1659538,60463444
RE,REUNION,16500,771520,59500,2641681
RU,RUSSIAN FEDERATION,0,0,30000,1092306
SN,SENEGAL,19500,774819,19500,774819
SG,SINGAPORE,112775,4664819,214625,8694724
SK,SLOVAKIA,42,101752,42,101752
ZA,SOUTH AFRICA,0,0,17000,700716
LK,SRI LANKA,26500,1032722,47500,1892454
TW,"TAIWAN, PROVINCE OF CHINA",911000,35823866,3328150,126474111
TZ,TANZANIA UNITED REPUBLIC OF,54000,2290827,79000,3237080
TG,TOGO,143000,5445897,143000,5445897
TR,TÜRKIYE,3000,449004,253000,9611379
AE,UNITED ARAB EMIRATES,159001,5728662,159201,5736102
US,UNITED STATES,0,19,43000,2118972
VN,VIETNAM,7635266,290383687,16851482,615736270
SUM,SUM,39137898,1512436594,108400127,4084441937
