"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2016', 'Quantity')","('Jun 2016', 'FOB (Baht)')","('Jan - Jun 2016', 'Quantity')","('Jan - Jun 2016', 'FOB (Baht)')"
AU,AUSTRALIA,19000,1529767,114000,9682480
BD,BANGLADESH,0,0,1075,101937
CN,CHINA,80900,7438427,478405,38350013
EG,EGYPT,0,0,496000,26374066
FI,FINLAND,0,0,4,971
GH,GHANA,0,0,129250,3179616
HK,HONG KONG,525,7282,1425,64589
IN,INDIA,481600,41698051,1681754,151359855
ID,INDONESIA,301075,24134807,1664770,129666841
IT,ITALY,0,0,1000,109331
JP,JAPAN,2807,322806,88534,9212866
KE,KENYA,0,0,24000,815931
KR,"KOREA,REPUBLIC OF",0,0,38220,2789131
MG,MADAGASCAR,0,0,32275,935704
MW,MALAWI,0,0,54000,1408111
MY,MALAYSIA,62000,3571125,561252,41106982
NZ,NEW ZEALAND,0,0,300,112411
PK,PAKISTAN,0,0,16000,1375696
PH,PHILIPPINES,10650,855816,39492,4871733
SA,SAUDI ARABIA,24000,1491651,351500,24672444
SG,SINGAPORE,0,0,350,3889
ZA,SOUTH AFRICA,16000,651376,96604,6310468
LK,SRI LANKA,0,0,16000,414764
TW,"TAIWAN, PROVINCE OF CHINA",31700,3010710,194392,21552631
TR,TÜRKIYE,0,0,19,174731
AE,UNITED ARAB EMIRATES,0,0,264000,16852912
US,UNITED STATES,26840,2312796,104841,7722915
VN,VIETNAM,128675,6393697,716842,41368453
SUM,SUM,1185772,93418311,7166304,540591471
