"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2015', 'Quantity')","('Aug 2015', 'FOB (Baht)')","('Jan - Aug 2015', 'Quantity')","('Jan - Aug 2015', 'FOB (Baht)')"
AR,ARGENTINA,0,0,0,64
AU,AUSTRALIA,750,38047,750,38047
CA,CANADA,0,0,1428,457433
CN,CHINA,0,0,16925,650959
IN,INDIA,0,0,359,41112
ID,INDONESIA,51825,5678463,277150,22939076
JP,JAPAN,0,0,7925,773947
KE,KENYA,0,0,16250,438873
KR,"KOREA,REPUBLIC OF",0,0,100,6854
MY,MALAYSIA,25000,657500,61369,1623140
PK,PAKISTAN,110,30024,110,30024
SG,SINGAPORE,0,0,1500,169281
ZA,SOUTH AFRICA,0,0,2300,289943
US,UNITED STATES,0,0,300,25365
VN,VIETNAM,81000,3771430,606500,30904038
SUM,SUM,158685,10175464,992966,58388156
