"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2022', 'Quantity')","('Feb 2022', 'FOB (Baht)')","('Jan - Feb 2022', 'Quantity')","('Jan - Feb 2022', 'FOB (Baht)')"
AU,AUSTRALIA,15000,1265381,15000,1265381
CN,CHINA,12725300,1084424152,19361300,1661975896
IN,INDIA,766000,71733686,2357000,231585625
ID,INDONESIA,244000,20522340,348000,32099395
IT,ITALY,48000,4833064,48000,4833064
JP,JAPAN,4500,894653,9540,1331766
MY,MALAYSIA,122000,11181071,413010,40207353
PK,PAKISTAN,32000,2908242,32000,2908242
PH,PHILIPPINES,0,0,2000,204370
RU,RUSSIAN FEDERATION,0,0,144000,17880201
TR,TÜRKIYE,0,0,1464000,168145324
US,UNITED STATES,19000,1559159,19000,1559159
VN,VIETNAM,134000,12528279,134000,12528279
SUM,SUM,14109800,1211850027,24346850,2176524055
