"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2016', 'Quantity')","('Aug 2016', 'FOB (Baht)')","('Jan - Aug 2016', 'Quantity')","('Jan - Aug 2016', 'FOB (Baht)')"
AU,AUSTRALIA,23000,1827976,153000,12823598
BD,BANGLADESH,0,0,1075,101937
CN,CHINA,111950,9715604,638155,52173510
EG,EGYPT,0,0,496000,26374066
FI,FINLAND,0,0,4,971
GH,GHANA,0,0,129250,3179616
HK,HONG KONG,0,0,6425,538359
IN,INDIA,457825,37691453,2778924,242076733
ID,INDONESIA,289627,24089891,2404222,191459129
IT,ITALY,0,0,1000,109331
JP,JAPAN,5115,618442,98182,10356108
KE,KENYA,0,0,24000,815931
KR,"KOREA,REPUBLIC OF",23000,1964861,61595,4784946
MG,MADAGASCAR,66000,1903632,98275,2839336
MW,MALAWI,0,0,54000,1408111
MY,MALAYSIA,115025,8204689,710652,51448090
MM,MYANMAR,2000,173200,2000,173200
NZ,NEW ZEALAND,250,87745,550,200156
PK,PAKISTAN,0,0,16000,1375696
PH,PHILIPPINES,11989,2526244,53497,7921707
SA,SAUDI ARABIA,0,0,351500,24672444
SG,SINGAPORE,0,0,350,3889
ZA,SOUTH AFRICA,40000,2178225,136604,8488693
LK,SRI LANKA,0,0,16000,414764
TW,"TAIWAN, PROVINCE OF CHINA",33100,3662467,278892,31064010
TR,TÜRKIYE,0,0,19,174731
AE,UNITED ARAB EMIRATES,48000,3521821,384000,25377187
US,UNITED STATES,18125,1202839,139441,9993624
VN,VIETNAM,121090,5646258,958907,52845126
SUM,SUM,1366096,105015347,9992519,763194999
