"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2020', 'Quantity')","('Dec 2020', 'FOB (Baht)')","('Jan - Dec 2020', 'Quantity')","('Jan - Dec 2020', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,182000,26071186
BD,BANGLADESH,0,0,3000,162146
CN,CHINA,1919250,11521642,13085190,89136395
IN,INDIA,1000,154582,190418,6831192
ID,INDONESIA,0,0,8000,565108
JP,JAPAN,128000,5171488,1381625,56585019
KR,"KOREA,REPUBLIC OF",0,0,225,21755
LA,LAO PDR,0,0,3000,112326
MY,MALAYSIA,1251,69060,21251,931482
LK,SRI LANKA,0,0,25,8277
AE,UNITED ARAB EMIRATES,0,0,16,493
US,UNITED STATES,0,0,28200,4078316
VN,VIETNAM,0,0,2300,212848
SUM,SUM,2049501,16916772,14905250,184716543
