"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2018', 'Quantity')","('Dec 2018', 'FOB (Baht)')","('Jan - Dec 2018', 'Quantity')","('Jan - Dec 2018', 'FOB (Baht)')"
CN,CHINA,21125,1018799,125750,11757901
HK,HONG KONG,0,0,7000,431863
IN,INDIA,0,0,38500,4007085
ID,INDONESIA,26000,3820017,231450,33011867
JP,JAPAN,0,0,26722,2113189
KR,"KOREA,REPUBLIC OF",2500,421866,353900,34366440
LA,LAO PDR,10548,464975,184651,8652000
PK,PAKISTAN,0,0,13500,1184815
PH,PHILIPPINES,4000,324022,157300,9253387
ZA,SOUTH AFRICA,0,0,39200,2843772
TW,"TAIWAN, PROVINCE OF CHINA",14000,1611736,26600,3070769
US,UNITED STATES,7800,427169,38300,2175350
VN,VIETNAM,34000,1840930,566000,30746543
SUM,SUM,119973,9929514,1808873,143614981
