"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2017', 'Quantity')","('Mar 2017', 'FOB (Baht)')","('Jan - Mar 2017', 'Quantity')","('Jan - Mar 2017', 'FOB (Baht)')"
AU,AUSTRALIA,191640,8011882,311640,10909212
BD,BANGLADESH,527000,23698075,527000,23698075
KH,CAMBODIA,3475,41700,3475,41700
CN,CHINA,3494000,157884761,4466000,198528985
IN,INDIA,456775,18619752,456775,18619752
ID,INDONESIA,1534500,73009501,3407650,162447552
IL,ISRAEL,96000,4456900,96000,4456900
IT,ITALY,0,0,25,1611
JP,JAPAN,152000,7812347,152025,7820724
LA,LAO PDR,56000,2448970,101000,4273931
MY,MALAYSIA,178000,8474096,199000,9929966
MM,MYANMAR,0,0,170000,7757836
NZ,NEW ZEALAND,195000,8952911,195000,8952911
PK,PAKISTAN,26500,2403370,52875,4791332
PH,PHILIPPINES,436000,18344075,436075,18347551
SG,SINGAPORE,17000,691433,17000,691433
ZA,SOUTH AFRICA,700,66750,2100,202661
LK,SRI LANKA,17000,744527,17000,744527
TW,"TAIWAN, PROVINCE OF CHINA",7500,425183,8000,487387
TZ,TANZANIA UNITED REPUBLIC OF,33000,1449993,33000,1449993
TR,TÜRKIYE,152800,6309421,152800,6309421
VN,VIETNAM,174000,7771581,203000,9391974
SUM,SUM,7748890,351617228,11007440,499855434
