"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2017', 'Quantity')","('Jun 2017', 'FOB (Baht)')","('Jan - Jun 2017', 'Quantity')","('Jan - Jun 2017', 'FOB (Baht)')"
DZ,ALGERIA,0,0,16000,441670
AR,ARGENTINA,0,0,2100,168768
AU,AUSTRALIA,40750,1598527,278250,11674199
BR,BRAZIL,24000,1892805,287400,22897236
CN,CHINA,104750,7581424,651286,56379980
EG,EGYPT,2000,283518,3300,347979
GH,GHANA,0,0,130000,3153152
HT,HAITI,0,0,54000,1817813
HK,HONG KONG,0,0,10050,961817
IN,INDIA,688965,56169123,3189603,269351691
ID,INDONESIA,157050,13609587,1593532,131728556
JP,JAPAN,2050,273756,11031,1168998
KR,"KOREA,REPUBLIC OF",1500,280828,29110,2914740
LA,LAO PDR,0,0,280,112000
MG,MADAGASCAR,31575,800139,64575,1760161
MY,MALAYSIA,30800,4064707,257025,26107580
MM,MYANMAR,80,4,5580,678011
NZ,NEW ZEALAND,0,0,250,44152
PK,PAKISTAN,0,0,10000,789634
PH,PHILIPPINES,21000,1988124,115205,11787428
RU,RUSSIAN FEDERATION,0,0,1984,413325
SG,SINGAPORE,75,114,25725,1229686
ZA,SOUTH AFRICA,30000,1801893,58100,3610127
CH,SWITZERLAND,0,0,96,849
TW,"TAIWAN, PROVINCE OF CHINA",7800,635512,150420,14449912
AE,UNITED ARAB EMIRATES,0,0,156000,5134210
US,UNITED STATES,18000,1100749,68300,4208143
VN,VIETNAM,118247,7291293,491930,35381385
SUM,SUM,1278642,99372103,7661132,608713202
