"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2017', 'Quantity')","('Jul 2017', 'FOB (Baht)')","('Jan - Jul 2017', 'Quantity')","('Jan - Jul 2017', 'FOB (Baht)')"
DZ,ALGERIA,0,0,16000,441670
AR,ARGENTINA,0,0,2100,168768
AU,AUSTRALIA,76500,2176257,354750,13850456
BR,BRAZIL,0,0,287400,22897236
KH,CAMBODIA,60,19910,60,19910
CN,CHINA,82150,6803064,733436,63183044
EG,EGYPT,500,34168,3800,382147
GH,GHANA,0,0,130000,3153152
HT,HAITI,0,0,54000,1817813
HK,HONG KONG,0,0,10050,961817
IN,INDIA,569575,43669442,3759178,313021133
ID,INDONESIA,190050,15159308,1783582,146887864
JP,JAPAN,50,3372,11081,1172370
KR,"KOREA,REPUBLIC OF",12150,946243,41260,3860983
LA,LAO PDR,0,0,280,112000
MG,MADAGASCAR,0,0,64575,1760161
MY,MALAYSIA,60605,5596420,317630,31704000
MM,MYANMAR,14,0,5594,678011
NZ,NEW ZEALAND,0,0,250,44152
PK,PAKISTAN,0,0,10000,789634
PH,PHILIPPINES,522,557524,115727,12344952
RU,RUSSIAN FEDERATION,0,0,1984,413325
SG,SINGAPORE,50,75,25775,1229761
ZA,SOUTH AFRICA,23075,1541025,81175,5151152
CH,SWITZERLAND,0,0,96,849
TW,"TAIWAN, PROVINCE OF CHINA",44400,4268208,194820,18718120
AE,UNITED ARAB EMIRATES,60000,1382725,216000,6516935
US,UNITED STATES,18000,1006419,86300,5214562
VN,VIETNAM,130600,7604513,622530,42985898
SUM,SUM,1268301,90768673,8929433,699481875
