"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2015', 'Quantity')","('Nov 2015', 'FOB (Baht)')","('Jan - Nov 2015', 'Quantity')","('Jan - Nov 2015', 'FOB (Baht)')"
AU,AUSTRALIA,82100,6297270,2450865,186968675
AT,AUSTRIA,0,0,685,241073
BD,BANGLADESH,59400,4127595,1604300,100653863
BE,BELGIUM,0,0,1151150,75548025
KH,CAMBODIA,0,0,65500,3404670
CL,CHILE,0,0,50,884
CN,CHINA,11955164,771475047,115416410,7311913602
CO,COLOMBIA,0,0,200,21612
EG,EGYPT,0,0,36000,2743255
ET,ETHIOPIA,0,0,472000,14301666
FJ,FIJI,11250,532731,25625,1183608
GA,GABON,0,0,50000,1565806
DE,GERMANY,0,0,218250,14632502
GW,GUINEA-BISSAU,0,0,16200,549648
HK,HONG KONG,253100,18493576,1751098,111267223
IN,INDIA,750462,38461044,15110225,801889895
ID,INDONESIA,392850,28193883,3814363,261333871
IR,IRAN (ISLAMIC REPUBLIC OF),0,0,750,93978
IQ,IRAQ,0,0,92,314678
IE,IRELAND,0,0,875,179801
IT,ITALY,65,57000,3565,214713
JP,JAPAN,3616835,223993851,28738012,1711467937
KE,KENYA,0,0,45000,1505251
KR,"KOREA,REPUBLIC OF",732400,54994101,16485663,1180628106
LA,LAO PDR,0,0,168000,4303275
MG,MADAGASCAR,0,0,32000,1123164
MY,MALAYSIA,67925,6115762,1614328,118376694
MV,MALDIVES,16500,545250,16500,545250
MU,MAURITIUS,0,0,68500,1830828
MM,MYANMAR,0,0,1550,40000
NZ,NEW ZEALAND,36050,2702416,467505,35686777
PK,PAKISTAN,0,0,138260,8849781
PH,PHILIPPINES,2500,243435,5447825,245094545
PL,POLAND,0,0,675,35880
SA,SAUDI ARABIA,0,0,1355,87504
SG,SINGAPORE,30290,2249715,2116414,151261660
ZA,SOUTH AFRICA,0,0,974,209980
ES,SPAIN,400,27790,2650,28520
LK,SRI LANKA,18025,353961,249475,12463641
TW,"TAIWAN, PROVINCE OF CHINA",384950,26102644,4212910,271660622
TZ,TANZANIA UNITED REPUBLIC OF,0,0,357000,11958592
TG,TOGO,0,0,32000,1203987
AE,UNITED ARAB EMIRATES,1000,175385,1000,175385
GB,UNITED KINGDOM,0,0,0,1054
US,UNITED STATES,19800,1343126,298226,23656527
VN,VIETNAM,544600,39416096,5831383,428439953
SUM,SUM,18975666,1225901678,208515408,13099657961
