"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2017', 'Quantity')","('Jan 2017', 'FOB (Baht)')","('Jan - Jan 2017', 'Quantity')","('Jan - Jan 2017', 'FOB (Baht)')"
AU,AUSTRALIA,1369771,68866438,1369771,68866438
BD,BANGLADESH,94050,4629910,94050,4629910
BE,BELGIUM,118800,7492368,118800,7492368
BT,BHUTAN,132000,6283084,132000,6283084
CN,CHINA,29781427,1561813443,29781427,1561813443
DJ,DJIBOUTI,100,16041,100,16041
HK,HONG KONG,60847,3852735,60847,3852735
IN,INDIA,5282275,240640600,5282275,240640600
ID,INDONESIA,4373915,213690542,4373915,213690542
IE,IRELAND,750,70703,750,70703
JP,JAPAN,7237505,389300770,7237505,389300770
KR,"KOREA,REPUBLIC OF",1038675,71662988,1038675,71662988
MY,MALAYSIA,973835,54098981,973835,54098981
MM,MYANMAR,59750,1370637,59750,1370637
NP,NEPAL,24750,1086333,24750,1086333
NZ,NEW ZEALAND,747860,36872127,747860,36872127
PK,PAKISTAN,24750,1177179,24750,1177179
PH,PHILIPPINES,795550,36901786,795550,36901786
SA,SAUDI ARABIA,19200,1790925,19200,1790925
SG,SINGAPORE,175406,12558238,175406,12558238
LK,SRI LANKA,132075,5846290,132075,5846290
TW,"TAIWAN, PROVINCE OF CHINA",668050,34798456,668050,34798456
AE,UNITED ARAB EMIRATES,3000,481239,3000,481239
US,UNITED STATES,1,427,1,427
VN,VIETNAM,690850,50112566,690850,50112566
SUM,SUM,53805192,2805414806,53805192,2805414806
