"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2012', 'Quantity')","('Feb 2012', 'FOB (Baht)')","('Jan - Feb 2012', 'Quantity')","('Jan - Feb 2012', 'FOB (Baht)')"
DE,GERMANY,0,0,10,527
HK,HONG KONG,2000,124235,2000,124235
ID,INDONESIA,262500,14114669,595500,31673309
JP,JAPAN,100,11730,150,21676
KR,"KOREA,REPUBLIC OF",150,10460,150,10460
LA,LAO PDR,0,0,1610,323907
PK,PAKISTAN,2000,166711,2000,166711
PH,PHILIPPINES,1000,73079,1000,73079
ZA,SOUTH AFRICA,0,0,75,242
SUM,SUM,267750,14500884,602495,32394146
