"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2021', 'Quantity')","('Jul 2021', 'FOB (Baht)')","('Jan - Jul 2021', 'Quantity')","('Jan - Jul 2021', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,6000,640913
CN,CHINA,4500,1043572,16550,8068599
HK,HONG KONG,0,0,9350,717545
IN,INDIA,5500,849363,19500,2419259
ID,INDONESIA,1200,70505,48650,5605989
JP,JAPAN,0,0,181500,10250304
KR,"KOREA,REPUBLIC OF",5000,814372,116000,13133245
LA,LAO PDR,0,0,11000,444000
MY,MALAYSIA,0,0,100,4403
PK,PAKISTAN,11000,840755,24900,1609480
PH,PHILIPPINES,18000,1074704,152475,9042801
SG,SINGAPORE,0,0,11500,1439979
US,UNITED STATES,0,0,19600,1127946
VN,VIETNAM,70000,4133055,334000,18459547
SUM,SUM,115200,8826326,951125,72964010
