"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2016', 'Quantity')","('Nov 2016', 'FOB (Baht)')","('Jan - Nov 2016', 'Quantity')","('Jan - Nov 2016', 'FOB (Baht)')"
AU,AUSTRALIA,162,41225,15162,399574
CM,CAMEROON,0,0,16250,403407
CN,CHINA,97375,4154403,107700,4650647
GA,GABON,0,0,48000,1426555
GH,GHANA,0,0,227500,5552520
HK,HONG KONG,40000,1633923,66925,6024456
IN,INDIA,19075,1170414,40300,4297521
ID,INDONESIA,134500,6294159,457350,24768811
JP,JAPAN,202,6657,17652,1404243
KE,KENYA,0,0,16250,432553
KR,"KOREA,REPUBLIC OF",0,0,1770,255313
LA,LAO PDR,0,0,91,30876
MY,MALAYSIA,0,0,1475,89778
MX,MEXICO,0,0,30000,1422842
PK,PAKISTAN,0,0,220,62104
ZA,SOUTH AFRICA,14000,1909409,57100,7857652
LK,SRI LANKA,0,0,112066,2816517
TW,"TAIWAN, PROVINCE OF CHINA",0,0,600,75621
VN,VIETNAM,147500,6588200,1229500,56704658
SUM,SUM,452814,21798390,2445911,118675648
