"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2022', 'Quantity')","('Dec 2022', 'FOB (Baht)')","('Jan - Dec 2022', 'Quantity')","('Jan - Dec 2022', 'FOB (Baht)')"
AO,ANGOLA,0,0,265500,13063366
AR,ARGENTINA,0,0,1200,70554
AU,AUSTRALIA,1045960,40752531,11861885,572492421
AT,AUSTRIA,0,0,1020,2915
BD,BANGLADESH,372000,14932217,3588950,169802474
BE,BELGIUM,0,0,12000,1326840
BR,BRAZIL,0,0,3000,151257
BN,BRUNEI DARUSSALAM,0,0,20000,1196816
KH,CAMBODIA,361100,13782235,4004450,191344323
CM,CAMEROON,49500,2182726,198000,9867745
CA,CANADA,51000,2825587,548840,26018029
CN,CHINA,24744080,962525579,125123332,5950712089
CG,CONGO,182000,8025132,894000,45499796
DJ,DJIBOUTI,84000,3656830,4297500,198121596
EC,ECUADOR,0,0,54000,1843500
FJ,FIJI,133500,5884049,1216700,65405934
FR,FRANCE,0,0,3000,143485
PF,FRENCH POLYNESIA,0,0,266000,14633949
GA,GABON,17500,650546,17500,650546
DE,GERMANY,23500,1281255,270233,14735964
GH,GHANA,0,0,102050,4790010
HK,HONG KONG,284,17425,235440,9883729
IN,INDIA,3037475,128564623,27687767,1392693569
ID,INDONESIA,7272300,286180252,107274750,5074979202
IL,ISRAEL,0,0,244600,11050001
JP,JAPAN,1427425,68138934,18704123,981951375
KZ,KAZAKHSTAN,34000,1251765,435000,20163885
KE,KENYA,0,0,17450,938138
KR,"KOREA,REPUBLIC OF",673500,28955852,3662670,191120580
LA,LAO PDR,698550,29933348,6001835,285045517
MG,MADAGASCAR,0,0,70000,1968650
MY,MALAYSIA,992100,39928482,14355497,699298984
MV,MALDIVES,0,0,25546,1552948
MU,MAURITIUS,29000,1248995,255500,12842479
MZ,MOZAMBIQUE,53500,2108520,779500,35599218
MM,MYANMAR,759000,29056940,19026959,935165329
NP,NEPAL,0,0,5000,512317
NL,NETHERLANDS,72000,3808913,516000,27683064
NC,NEW CALEDONIA,0,0,493000,27401897
NZ,NEW ZEALAND,73200,3658738,1741710,96772535
NG,NIGERIA,0,0,17250,1149353
PG,PAPUA NEW GUINEA,27000,1196719,244000,13410009
PH,PHILIPPINES,1141750,42544658,13750700,646377165
PL,POLAND,0,0,120000,5782922
PT,PORTUGAL,371000,14087365,4418578,192903416
QA,QATAR,18000,739764,58000,2355881
RE,REUNION,46000,2120888,311000,17030012
RO,ROMANIA,0,0,123750,5191599
RU,RUSSIAN FEDERATION,108000,4014800,254750,11090445
SA,SAUDI ARABIA,0,0,76500,5091971
SN,SENEGAL,0,0,25000,940215
SG,SINGAPORE,79750,3173781,550480,31750081
SK,SLOVAKIA,0,0,50,8551
SB,SOLOMON ISLANDS,0,0,8000,391459
ZA,SOUTH AFRICA,0,0,1028450,52611614
ES,SPAIN,0,0,940000,43919336
LK,SRI LANKA,49000,1898224,330500,14780303
CH,SWITZERLAND,0,0,95,7579
TW,"TAIWAN, PROVINCE OF CHINA",547250,23389430,16534565,889178253
TZ,TANZANIA UNITED REPUBLIC OF,0,0,315500,15224264
TG,TOGO,0,0,34500,2330995
TR,TÜRKIYE,24000,1295373,131700,7311837
UA,UKRAINE,0,0,68250,3113601
AE,UNITED ARAB EMIRATES,54000,2110608,740015,34900947
US,UNITED STATES,12000,553322,163224,8712712
VN,VIETNAM,3340932,133092605,84989337,4025233145
YE,YEMEN,175,6845,147175,6981403
SUM,SUM,48005331,1909575856,479662876,23126276094
