"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2023', 'Quantity')","('Jan 2023', 'FOB (Baht)')","('Jan - Jan 2023', 'Quantity')","('Jan - Jan 2023', 'FOB (Baht)')"
AR,ARGENTINA,147000,6392572,147000,6392572
AU,AUSTRALIA,8199450,327126491,8199450,327126491
BH,BAHRAIN,54000,1875867,54000,1875867
BD,BANGLADESH,1476000,56141976,1476000,56141976
BR,BRAZIL,255000,11094108,255000,11094108
BN,BRUNEI DARUSSALAM,5000,219779,5000,219779
KH,CAMBODIA,811500,30582102,811500,30582102
CA,CANADA,750,29821,750,29821
CL,CHILE,127000,4450368,127000,4450368
CN,CHINA,10865379,400347441,10865379,400347441
CO,COLOMBIA,51000,2307570,51000,2307570
CG,CONGO,36000,1507470,36000,1507470
HR,CROATIA,51000,2235311,51000,2235311
DO,DOMINICAN REPUBLIC,76500,3503329,76500,3503329
FJ,FIJI,311000,12469301,311000,12469301
PF,FRENCH POLYNESIA,36000,1325606,36000,1325606
GH,GHANA,198000,7906957,198000,7906957
GT,GUATEMALA,123750,5421165,123750,5421165
IN,INDIA,3944470,151140502,3944470,151140502
ID,INDONESIA,7227625,271745643,7227625,271745643
IL,ISRAEL,15900,984593,15900,984593
IT,ITALY,90250,3557813,90250,3557813
JP,JAPAN,9237818,361486366,9237818,361486366
KE,KENYA,68000,2440684,68000,2440684
KR,"KOREA,REPUBLIC OF",213000,7918211,213000,7918211
LA,LAO PDR,483350,18591989,483350,18591989
LT,LITHUANIA,193000,8613270,193000,8613270
MY,MALAYSIA,2112825,83015517,2112825,83015517
MU,MAURITIUS,78000,3265811,78000,3265811
MX,MEXICO,102000,5322168,102000,5322168
MZ,MOZAMBIQUE,108000,4189833,108000,4189833
MM,MYANMAR,1928675,66553903,1928675,66553903
NC,NEW CALEDONIA,36000,1394064,36000,1394064
NZ,NEW ZEALAND,738250,31597179,738250,31597179
NG,NIGERIA,757250,29057446,757250,29057446
PK,PAKISTAN,684250,24741545,684250,24741545
PY,PARAGUAY,49500,1779921,49500,1779921
PH,PHILIPPINES,4705725,169844946,4705725,169844946
PL,POLAND,144000,6535512,144000,6535512
PT,PORTUGAL,561000,22178988,561000,22178988
QA,QATAR,36000,1511117,36000,1511117
RE,REUNION,18500,856699,18500,856699
RU,RUSSIAN FEDERATION,1628000,72327339,1628000,72327339
SA,SAUDI ARABIA,102800,4376421,102800,4376421
SG,SINGAPORE,124700,4691707,124700,4691707
SI,SLOVENIA,120000,5296686,120000,5296686
ZA,SOUTH AFRICA,319149,12767207,319149,12767207
LK,SRI LANKA,128500,4730132,128500,4730132
SE,SWEDEN,16000,629092,16000,629092
TW,"TAIWAN, PROVINCE OF CHINA",360000,13246649,360000,13246649
TZ,TANZANIA UNITED REPUBLIC OF,52500,1996706,52500,1996706
TR,TÜRKIYE,331500,14281745,331500,14281745
AE,UNITED ARAB EMIRATES,237000,8417457,237000,8417457
US,UNITED STATES,102000,4090914,102000,4090914
VN,VIETNAM,5437925,193648536,5437925,193648536
SUM,SUM,65317791,2493761545,65317791,2493761545
