"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2023', 'Quantity')","('Jan 2023', 'FOB (Baht)')","('Jan - Jan 2023', 'Quantity')","('Jan - Jan 2023', 'FOB (Baht)')"
AU,AUSTRALIA,900110,38726246,900110,38726246
BD,BANGLADESH,302500,11626847,302500,11626847
BE,BELGIUM,99000,7818620,99000,7818620
CN,CHINA,22676907,1667632034,22676907,1667632034
FJ,FIJI,30000,1250059,30000,1250059
IN,INDIA,1244550,76209043,1244550,76209043
ID,INDONESIA,5326130,227056647,5326130,227056647
IR,IRAN (ISLAMIC REPUBLIC OF),49500,3191986,49500,3191986
JP,JAPAN,5340990,310075394,5340990,310075394
KR,"KOREA,REPUBLIC OF",396000,36229689,396000,36229689
LT,LITHUANIA,350000,13823412,350000,13823412
MY,MALAYSIA,591825,31641803,591825,31641803
MM,MYANMAR,66000,2431699,66000,2431699
NZ,NEW ZEALAND,355530,16655301,355530,16655301
PK,PAKISTAN,25500,1090020,25500,1090020
PH,PHILIPPINES,1012000,39722863,1012000,39722863
PT,PORTUGAL,148500,5750514,148500,5750514
RE,REUNION,4000,163196,4000,163196
RU,RUSSIAN FEDERATION,45000,1711463,45000,1711463
SG,SINGAPORE,252300,23376094,252300,23376094
TW,"TAIWAN, PROVINCE OF CHINA",474300,22133765,474300,22133765
VN,VIETNAM,839100,61999033,839100,61999033
SUM,SUM,40529742,2600315728,40529742,2600315728
