"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2017', 'Quantity')","('Feb 2017', 'FOB (Baht)')","('Jan - Feb 2017', 'Quantity')","('Jan - Feb 2017', 'FOB (Baht)')"
AU,AUSTRALIA,1432420,71048332,2802191,139914770
BD,BANGLADESH,76250,3598332,170300,8228242
BE,BELGIUM,118800,7487748,237600,14980116
BT,BHUTAN,99000,4665774,231000,10948858
CN,CHINA,25915289,1321993448,55696716,2883806891
DJ,DJIBOUTI,0,0,100,16041
HK,HONG KONG,104900,7335235,165747,11187970
IN,INDIA,3887825,180192603,9170100,420833203
ID,INDONESIA,6009105,290160032,10383020,503850574
IR,IRAN (ISLAMIC REPUBLIC OF),72000,5343738,72000,5343738
IE,IRELAND,0,0,750,70703
JP,JAPAN,5122273,274412536,12359778,663713306
KE,KENYA,33000,1023638,33000,1023638
KR,"KOREA,REPUBLIC OF",881620,60400811,1920295,132063799
MY,MALAYSIA,1047740,52791788,2021575,106890769
MZ,MOZAMBIQUE,300,21017,300,21017
MM,MYANMAR,507550,13923092,567300,15293729
NP,NEPAL,28600,1824422,53350,2910755
NZ,NEW ZEALAND,564980,27612632,1312840,64484759
PK,PAKISTAN,95300,4797497,120050,5974676
PH,PHILIPPINES,1024800,47004962,1820350,83906748
SA,SAUDI ARABIA,0,0,19200,1790925
SG,SINGAPORE,213550,14812840,388956,27371078
LK,SRI LANKA,143550,7547005,275625,13393295
TW,"TAIWAN, PROVINCE OF CHINA",1074875,55131681,1742925,89930137
TR,TÜRKIYE,3000,583726,3000,583726
AE,UNITED ARAB EMIRATES,0,0,3000,481239
US,UNITED STATES,20002,1229451,20003,1229878
VN,VIETNAM,1435640,86404952,2126490,136517518
SUM,SUM,49912369,2541347292,103717561,5346762098
