"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2013', 'Quantity')","('Jul 2013', 'FOB (Baht)')","('Jan - Jul 2013', 'Quantity')","('Jan - Jul 2013', 'FOB (Baht)')"
AO,ANGOLA,34000,1569780,34000,1569780
AR,ARGENTINA,89000,6178979,559775,37725711
AU,AUSTRALIA,588250,34604123,3345800,184137540
BD,BANGLADESH,746100,36670403,3875944,183753501
BR,BRAZIL,397200,26770532,1922700,121096059
CL,CHILE,0,0,17000,741610
CN,CHINA,8957475,428368136,70371057,3210993112
CO,COLOMBIA,0,0,8500,382869
CG,CONGO,0,0,34000,1648771
DJ,DJIBOUTI,0,0,34000,1482927
DO,DOMINICAN REPUBLIC,0,0,200,8559
EC,ECUADOR,0,0,170000,7971485
EG,EGYPT,0,0,220500,14072868
ET,ETHIOPIA,33000,1552464,33000,1552464
FJ,FIJI,17250,798298,159250,7267436
PF,FRENCH POLYNESIA,0,0,1500,67352
DE,GERMANY,0,0,20,93
GT,GUATEMALA,102000,5131348,510000,25599216
GN,GUINEA,0,0,221000,9749174
HK,HONG KONG,152350,7416017,709200,34036828
IN,INDIA,948691,49611721,7381502,369706675
ID,INDONESIA,1052700,62503678,14027631,717460087
IL,ISRAEL,26000,1311053,52000,2576880
JP,JAPAN,1909936,88709008,9242919,426946442
KR,"KOREA,REPUBLIC OF",0,0,25475,1262609
LA,LAO PDR,0,0,246030,10893918
LR,LIBERIA,0,0,102000,4810353
MY,MALAYSIA,685350,35379934,4883850,249804150
MU,MAURITIUS,45000,2200353,307500,14439610
MM,MYANMAR,51250,2554647,389350,18074364
NL,NETHERLANDS,0,0,165000,8539834
NZ,NEW ZEALAND,47000,2246602,557425,25651073
NG,NIGERIA,49500,2442648,936250,41037807
PK,PAKISTAN,504325,28986417,4430425,226887056
PE,PERU,0,0,51000,2116848
PH,PHILIPPINES,1830975,95980796,6813900,347719182
SG,SINGAPORE,0,0,301,14975
ZA,SOUTH AFRICA,304175,20520596,2083925,131416234
LK,SRI LANKA,51250,2434008,189050,9001945
TW,"TAIWAN, PROVINCE OF CHINA",12000,587921,161602,9328226
TR,TÜRKIYE,0,0,1234750,58845573
AE,UNITED ARAB EMIRATES,25500,1325288,37500,1885744
GB,UNITED KINGDOM,0,0,1,114
US,UNITED STATES,25,1191,173275,8011233
VN,VIETNAM,1615725,80852267,7548225,359398043
SUM,SUM,20276027,1026708208,143268332,6889686330
