"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2022', 'Quantity')","('Apr 2022', 'FOB (Baht)')","('Jan - Apr 2022', 'Quantity')","('Jan - Apr 2022', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,12000,1513740
BD,BANGLADESH,24000,3687735,83288,10046522
BE,BELGIUM,168000,17898797,924000,99723897
KH,CAMBODIA,1,11303,81,45001
CN,CHINA,223350,11729559,1074049,55846497
EG,EGYPT,24125,2386093,24125,2386093
HK,HONG KONG,2,17505,5210,506884
IN,INDIA,610950,57942732,2118975,189455420
ID,INDONESIA,170575,14042333,625355,56599349
JP,JAPAN,19832,1024362,152943,11622216
KR,"KOREA,REPUBLIC OF",45000,3948655,45775,3960239
LA,LAO PDR,156,39038,482,104987
MY,MALAYSIA,25948,3593873,116043,14040139
MU,MAURITIUS,81000,2504910,129600,3908744
MM,MYANMAR,290,18060,2826,249268
PK,PAKISTAN,1500,343665,1500,343665
PH,PHILIPPINES,12050,1163602,28980,2866927
SA,SAUDI ARABIA,24000,2635783,193125,16648662
SG,SINGAPORE,0,0,25,288
ZA,SOUTH AFRICA,42000,3888751,193100,16496399
LK,SRI LANKA,0,0,1467,32286
TW,"TAIWAN, PROVINCE OF CHINA",17475,2347707,196475,21983443
AE,UNITED ARAB EMIRATES,30000,819342,210625,12694515
VN,VIETNAM,30967,2761036,197216,17011600
SUM,SUM,1551221,132804841,6337265,538086781
