"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jun 2022', 'Quantity')","('Jun 2022', 'FOB (Baht)')","('Jan - Jun 2022', 'Quantity')","('Jan - Jun 2022', 'FOB (Baht)')"
AU,AUSTRALIA,748820,45986488,3896250,210699087
BD,BANGLADESH,75000,3861347,869000,43171357
BE,BELGIUM,99000,8902255,1035000,64747451
KH,CAMBODIA,34300,2236754,34300,2236754
CN,CHINA,42003370,2883955508,264092430,16932906948
FJ,FIJI,16500,930246,70000,3536195
FR,FRANCE,0,0,99000,5194639
HK,HONG KONG,55000,5641827,139600,13666494
IN,INDIA,1634900,121814289,13597660,887124894
ID,INDONESIA,5838910,308619989,39563985,2014040422
IR,IRAN (ISLAMIC REPUBLIC OF),99000,5750609,99000,5750609
JP,JAPAN,5812925,350912512,38728525,2159830258
KZ,KAZAKHSTAN,0,0,79000,4155264
KR,"KOREA,REPUBLIC OF",597800,52722762,3248500,263344812
MY,MALAYSIA,764800,44547198,7925275,410211468
MM,MYANMAR,265000,12799413,1429450,66512674
NZ,NEW ZEALAND,364440,22168178,1640420,89953293
PK,PAKISTAN,48000,3597736,479500,28219845
PH,PHILIPPINES,1633600,87301052,5933925,291176669
PT,PORTUGAL,0,0,492000,25973162
RE,REUNION,0,0,2000,99280
RU,RUSSIAN FEDERATION,26500,1421593,303000,16197608
SG,SINGAPORE,129000,10298714,1053125,80067803
ZA,SOUTH AFRICA,0,0,16500,684841
ES,SPAIN,0,0,50,2201
LK,SRI LANKA,58500,3066987,350500,17411412
TW,"TAIWAN, PROVINCE OF CHINA",735600,40328483,4388900,246933259
TR,TÜRKIYE,0,0,1017500,44748772
AE,UNITED ARAB EMIRATES,0,0,1000,48897
US,UNITED STATES,4000,218680,127309,10033194
VN,VIETNAM,996325,67562571,9599365,595825367
SUM,SUM,62041290,4084645191,400312069,24534504929
