"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jan 2021', 'Quantity')","('Jan 2021', 'FOB (Baht)')","('Jan - Jan 2021', 'Quantity')","('Jan - Jan 2021', 'FOB (Baht)')"
AU,AUSTRALIA,511710,20600876,511710,20600876
BD,BANGLADESH,215250,9261172,215250,9261172
BE,BELGIUM,30000,2647653,30000,2647653
BN,BRUNEI DARUSSALAM,18000,814091,18000,814091
KH,CAMBODIA,480000,20400715,480000,20400715
CA,CANADA,24000,761841,24000,761841
CL,CHILE,75000,2841880,75000,2841880
CN,CHINA,4833960,216240342,4833960,216240342
DJ,DJIBOUTI,360000,12322288,360000,12322288
FJ,FIJI,72000,2704001,72000,2704001
PF,FRENCH POLYNESIA,18000,745746,18000,745746
HK,HONG KONG,216000,9399441,216000,9399441
IN,INDIA,1929020,74414122,1929020,74414122
ID,INDONESIA,4585400,197048189,4585400,197048189
JP,JAPAN,1330233,53278901,1330233,53278901
KE,KENYA,17250,839300,17250,839300
KR,"KOREA,REPUBLIC OF",1141571,49108845,1141571,49108845
LA,LAO PDR,786625,33051459,786625,33051459
MY,MALAYSIA,395830,16297719,395830,16297719
MX,MEXICO,28000,859427,28000,859427
MM,MYANMAR,496500,21121568,496500,21121568
NZ,NEW ZEALAND,125250,5110739,125250,5110739
PG,PAPUA NEW GUINEA,10000,435764,10000,435764
PH,PHILIPPINES,464250,19439924,464250,19439924
RE,REUNION,30000,958054,30000,958054
SG,SINGAPORE,2000,103158,2000,103158
LK,SRI LANKA,45250,1879217,45250,1879217
TW,"TAIWAN, PROVINCE OF CHINA",1548500,68999588,1548500,68999588
TZ,TANZANIA UNITED REPUBLIC OF,18000,761841,18000,761841
AE,UNITED ARAB EMIRATES,60008,1381175,60008,1381175
US,UNITED STATES,12000,507894,12000,507894
VN,VIETNAM,5429323,239157262,5429323,239157262
SUM,SUM,25308930,1083494192,25308930,1083494192
