"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2019', 'Quantity')","('Aug 2019', 'FOB (Baht)')","('Jan - Aug 2019', 'Quantity')","('Jan - Aug 2019', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,30000,1426899
BD,BANGLADESH,51000,2251368,1292000,60090919
BE,BELGIUM,0,0,300,1018966
KH,CAMBODIA,0,0,1320,132640
CN,CHINA,8779500,398787112,66196308,3194971503
IN,INDIA,2214000,99669872,9595500,451938267
ID,INDONESIA,229000,10272651,1054394,50342865
JP,JAPAN,12200,695829,24250,1411297
LA,LAO PDR,2,1288,20,43098
MY,MALAYSIA,18728,1003774,81258,4858861
MM,MYANMAR,14000,899446,14020,899446
PK,PAKISTAN,24000,1114517,161000,7658946
PH,PHILIPPINES,2255,170323,23255,1694136
SC,SEYCHELLES,0,0,1600,198000
SG,SINGAPORE,200,7835,15420,774000
LK,SRI LANKA,0,0,17000,789737
TW,"TAIWAN, PROVINCE OF CHINA",0,0,69000,3366813
AE,UNITED ARAB EMIRATES,0,0,150,75416
US,UNITED STATES,0,0,113000,5540624
VN,VIETNAM,30000,1401790,635362,30979597
SUM,SUM,11374885,516275805,79325157,3818212030
