"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Mar 2017', 'Quantity')","('Mar 2017', 'FOB (Baht)')","('Jan - Mar 2017', 'Quantity')","('Jan - Mar 2017', 'FOB (Baht)')"
DZ,ALGERIA,0,0,24750,1164600
AO,ANGOLA,165000,7822747,165000,7822747
AU,AUSTRALIA,653380,30651358,1655900,76661720
BD,BANGLADESH,293500,13064137,595750,26979908
BJ,BENIN,10500,451888,10500,451888
BR,BRAZIL,0,0,148000,6606614
BN,BRUNEI DARUSSALAM,5000,241955,10000,474774
KH,CAMBODIA,235180,9726381,664680,30225353
CM,CAMEROON,0,0,88500,4091921
CL,CHILE,108000,4960733,132750,6099563
CN,CHINA,3161440,145151781,13822440,656825441
CO,COLOMBIA,33000,1531459,33000,1531459
CI,COTE D IVOIRE,33000,1559961,132000,6348505
DJ,DJIBOUTI,136000,6080302,406000,17912199
EC,ECUADOR,36000,1641991,36000,1641991
EG,EGYPT,0,0,72000,3173435
FJ,FIJI,21000,1017761,57000,2621894
PF,FRENCH POLYNESIA,35100,1637645,68100,3183354
GE,GEORGIA,0,0,16500,718248
GH,GHANA,124500,5910332,157500,7494947
HK,HONG KONG,628500,28385731,1735582,80882868
IN,INDIA,282650,12849503,1464150,69538024
ID,INDONESIA,1581500,76443438,4054525,196581492
IL,ISRAEL,0,0,6000,337532
IT,ITALY,6,1830,67,27106
JP,JAPAN,1100700,49918127,2535302,112329811
KZ,KAZAKHSTAN,0,0,34000,1551374
KR,"KOREA,REPUBLIC OF",554375,25243911,1303250,59393238
LA,LAO PDR,461097,21972177,1286322,61193717
MY,MALAYSIA,621721,29482195,1508173,72648777
MU,MAURITIUS,25000,1244186,69000,3336281
MZ,MOZAMBIQUE,34000,1536324,238000,10028915
MM,MYANMAR,359760,17126995,1257040,57349259
NC,NEW CALEDONIA,3100,151824,39100,1780476
NZ,NEW ZEALAND,171500,8198992,485500,22743138
NG,NIGERIA,86500,3847156,86500,3847156
PK,PAKISTAN,36000,1677445,36000,1677445
PG,PAPUA NEW GUINEA,104000,5012870,175000,8327326
PH,PHILIPPINES,1105500,53042600,2240500,106713358
PL,POLAND,0,0,54000,2279250
PT,PORTUGAL,0,0,1175000,49669292
RE,REUNION,31000,1549279,65000,3214683
SG,SINGAPORE,100,43742,101650,5450743
ZA,SOUTH AFRICA,0,0,120500,5890463
LK,SRI LANKA,34399,1500459,86149,4139470
SE,SWEDEN,5250,257847,5250,257847
TW,"TAIWAN, PROVINCE OF CHINA",694100,32493028,2654688,127947500
TZ,TANZANIA UNITED REPUBLIC OF,0,0,17250,861706
TG,TOGO,36000,1683006,69000,3290754
UG,UGANDA,800,38374,800,38374
UA,UKRAINE,0,0,115500,4875993
AE,UNITED ARAB EMIRATES,279000,12313891,669000,29492851
US,UNITED STATES,92500,4295240,92700,4300848
VN,VIETNAM,2516075,120558991,8697548,410352391
SUM,SUM,15895733,742319592,50774416,2384380019
