"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Aug 2017', 'Quantity')","('Aug 2017', 'FOB (Baht)')","('Jan - Aug 2017', 'Quantity')","('Jan - Aug 2017', 'FOB (Baht)')"
AU,AUSTRALIA,1504290,67253434,5511790,258525749
BD,BANGLADESH,123750,4821984,1148400,48239382
BE,BELGIUM,22500,1327336,695700,41699594
BT,BHUTAN,0,0,330000,15402598
CN,CHINA,32610255,1448176842,138973780,6401992290
DE,GERMANY,99000,5765628,120235,7033796
HK,HONG KONG,26200,1170425,358250,21908863
IN,INDIA,3770900,161375269,22292050,1005605084
ID,INDONESIA,6343755,265852894,31561125,1411056006
JP,JAPAN,9129300,429043750,42026125,1987424582
KR,"KOREA,REPUBLIC OF",1114700,67808038,7040940,421543608
MY,MALAYSIA,1734090,74950517,8691235,390796315
MM,MYANMAR,132000,4376472,429000,14897140
NP,NEPAL,49500,1840722,212970,9270352
NZ,NEW ZEALAND,744570,34359455,2634490,125727078
PK,PAKISTAN,58300,2670326,523900,24634257
PH,PHILIPPINES,1906250,72612626,6010850,241689834
SG,SINGAPORE,351450,22436393,1704475,101428584
LK,SRI LANKA,99000,4238716,470750,21899619
TW,"TAIWAN, PROVINCE OF CHINA",1038850,46815344,5101290,245098707
GB,UNITED KINGDOM,0,0,45,12491
US,UNITED STATES,36350,2094678,255750,14727539
VN,VIETNAM,1311700,77119429,5892500,375364175
SUM,SUM,62206710,2796110278,281985650,13185977643
