"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2021', 'Quantity')","('Apr 2021', 'FOB (Baht)')","('Jan - Apr 2021', 'Quantity')","('Jan - Apr 2021', 'FOB (Baht)')"
AU,AUSTRALIA,20000,882432,23002,1068293
BD,BANGLADESH,68000,3507362,1513000,58708560
BE,BELGIUM,52,60,63,358
BR,BRAZIL,25500,1007903,1053500,42858969
KH,CAMBODIA,120000,5821496,607300,24761445
CM,CAMEROON,51000,1965924,51000,1965924
CN,CHINA,2148546,39106656,6832922,155892256
CG,CONGO,0,0,714000,27058941
CI,COTE D IVOIRE,0,0,51000,1968670
CZ,CZECH REPUBLIC,0,0,50,6278
DJ,DJIBOUTI,162000,1240920,384500,2892165
EG,EGYPT,0,0,17000,484428
SV,EL SALVADOR,0,0,104000,3621369
FJ,FIJI,0,0,16000,413220
PF,FRENCH POLYNESIA,30000,1470720,90000,3645863
DE,GERMANY,70,2178,70,2178
GH,GHANA,0,0,136000,5032074
GT,GUATEMALA,0,0,154750,5345573
GN,GUINEA,0,0,306000,11108185
HK,HONG KONG,78000,1361611,227000,5982898
IN,INDIA,849779,30337408,5657158,209369941
ID,INDONESIA,3824825,181026438,17965201,747134756
IL,ISRAEL,0,0,612000,24628090
JP,JAPAN,407510,19936917,1706330,70938574
KE,KENYA,17000,877867,17000,877867
KR,"KOREA,REPUBLIC OF",750,144020,3785,226590
LA,LAO PDR,14045,706320,69545,3088676
MG,MADAGASCAR,47475,1207346,47475,1207346
MY,MALAYSIA,163183,9371966,1712507,75172647
MU,MAURITIUS,0,0,51000,2027620
MZ,MOZAMBIQUE,0,0,50,1907
MM,MYANMAR,84875,2721435,359125,12320210
NG,NIGERIA,100,4955,204100,7951739
PK,PAKISTAN,327480,14053331,1298060,51356595
PE,PERU,0,0,52000,1689301
PH,PHILIPPINES,866664,43341550,4234315,175318177
QA,QATAR,408000,21858482,643000,31283937
SG,SINGAPORE,84300,4304867,200300,9088709
SI,SLOVENIA,46130,1538764,92330,2934290
ZA,SOUTH AFRICA,58500,3710518,180250,11171809
LK,SRI LANKA,20250,1656290,213475,14401923
TW,"TAIWAN, PROVINCE OF CHINA",2900,209529,23530,1295531
TR,TÜRKIYE,0,0,1800,260160
GB,UNITED KINGDOM,0,0,24980,964000
US,UNITED STATES,823853,48776558,957262,64134093
VN,VIETNAM,750575,36583865,1677595,74722981
SUM,SUM,11501362,478735688,50285330,1946385116
