"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Sept 2020', 'Quantity')","('Sept 2020', 'FOB (Baht)')","('Jan - Sept 2020', 'Quantity')","('Jan - Sept 2020', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,182000,26071186
BD,BANGLADESH,3000,162146,3000,162146
CN,CHINA,2140140,20228859,7098440,52420706
IN,INDIA,0,0,189418,6676610
ID,INDONESIA,0,0,8000,565108
JP,JAPAN,176000,6984138,997625,40592833
KR,"KOREA,REPUBLIC OF",50,6400,100,12900
LA,LAO PDR,0,0,3000,112326
MY,MALAYSIA,0,0,20000,862422
LK,SRI LANKA,0,0,25,8277
AE,UNITED ARAB EMIRATES,0,0,16,493
US,UNITED STATES,0,0,28200,4078316
VN,VIETNAM,200,21445,2300,212848
SUM,SUM,2319390,27402988,8532124,131776171
