"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2020', 'Quantity')","('Nov 2020', 'FOB (Baht)')","('Jan - Nov 2020', 'Quantity')","('Jan - Nov 2020', 'FOB (Baht)')"
CA,CANADA,0,0,800,20205
CN,CHINA,37000,3656249,878750,21186802
HK,HONG KONG,0,0,850,27650
IN,INDIA,8000,1027001,375200,44558457
ID,INDONESIA,84200,2659804,509823,22860896
JP,JAPAN,0,0,3000,147096
KE,KENYA,0,0,16500,337192
KR,"KOREA,REPUBLIC OF",2000,208410,8000,840897
MY,MALAYSIA,0,0,1500,189584
MX,MEXICO,24750,1167294,99000,4456508
PK,PAKISTAN,0,0,500,20641
TW,"TAIWAN, PROVINCE OF CHINA",0,0,74759,1432143
US,UNITED STATES,0,0,800,56299
VN,VIETNAM,35000,1112731,226400,7543170
SUM,SUM,190950,9831489,2195882,103677540
