"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Nov 2017', 'Quantity')","('Nov 2017', 'FOB (Baht)')","('Jan - Nov 2017', 'Quantity')","('Jan - Nov 2017', 'FOB (Baht)')"
AT,AUSTRIA,0,0,149,20228
BE,BELGIUM,0,0,91,11978
KH,CAMBODIA,360,16000,560,61000
CN,CHINA,0,0,5666,532251
DK,DENMARK,0,0,33,5057
HK,HONG KONG,0,0,193,159769
IN,INDIA,144000,6023051,1234750,55724187
ID,INDONESIA,80,154473,25670,2134042
IT,ITALY,0,0,99,15171
JP,JAPAN,75,10114,2838,608858
KR,"KOREA,REPUBLIC OF",0,0,261,35399
LA,LAO PDR,4320,420415,55393,7652411
MY,MALAYSIA,112,144286,294,382272
MM,MYANMAR,0,0,1425,119000
NZ,NEW ZEALAND,0,0,75,10114
NG,NIGERIA,0,0,28000,1746998
OM,OMAN,0,0,93,12642
SG,SINGAPORE,5000,349326,28668,1948300
LK,SRI LANKA,0,0,40100,2193812
CH,SWITZERLAND,0,0,112,15171
TW,"TAIWAN, PROVINCE OF CHINA",149,20228,373,60684
AE,UNITED ARAB EMIRATES,0,0,145,20228
VN,VIETNAM,0,0,129,240947
SUM,SUM,154096,7137893,1425117,73710519
