"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2020', 'Quantity')","('Oct 2020', 'FOB (Baht)')","('Jan - Oct 2020', 'Quantity')","('Jan - Oct 2020', 'FOB (Baht)')"
CN,CHINA,0,0,85632,4459806
HK,HONG KONG,0,0,12175,650433
IN,INDIA,13000,1430892,21500,2437502
ID,INDONESIA,1100,141720,116625,15187468
JP,JAPAN,0,0,75,4125
KR,"KOREA,REPUBLIC OF",23000,2182710,114500,12393713
LA,LAO PDR,0,0,68000,2098250
MY,MALAYSIA,0,0,1000,113414
PK,PAKISTAN,1000,46690,271450,20530836
PH,PHILIPPINES,11900,702017,182075,8797370
SG,SINGAPORE,400,46009,5400,692652
TW,"TAIWAN, PROVINCE OF CHINA",0,0,6000,660853
US,UNITED STATES,0,0,19400,929123
VN,VIETNAM,70000,3089153,405000,19207936
SUM,SUM,120400,7639191,1308832,88163481
