"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Oct 2021', 'Quantity')","('Oct 2021', 'FOB (Baht)')","('Jan - Oct 2021', 'Quantity')","('Jan - Oct 2021', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,26000,2346276
CN,CHINA,24825,3021059,647885,12074530
DE,GERMANY,0,0,890,86338
HK,HONG KONG,0,0,26,31
IN,INDIA,0,0,6475,1148634
ID,INDONESIA,0,0,0,31
KR,"KOREA,REPUBLIC OF",0,0,50,2400
LA,LAO PDR,0,0,130877,5430576
MY,MALAYSIA,100,2641,3103,271340
NL,NETHERLANDS,0,0,11,1785
SG,SINGAPORE,0,0,3095,448212
ES,SPAIN,0,0,610,54880
US,UNITED STATES,0,0,21,2713
VN,VIETNAM,0,0,25,590
SUM,SUM,24925,3023700,819068,21868336
