"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Jul 2015', 'Quantity')","('Jul 2015', 'FOB (Baht)')","('Jan - Jul 2015', 'Quantity')","('Jan - Jul 2015', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,30000,379432
KH,CAMBODIA,0,0,40000,1990853
CN,CHINA,16000,1111558,44000,3116204
HK,HONG KONG,0,0,1250,110774
ID,INDONESIA,0,0,33175,2550657
JP,JAPAN,0,0,1250,88414
PK,PAKISTAN,0,0,11750,1066471
PH,PHILIPPINES,10000,526945,79000,4476885
TW,"TAIWAN, PROVINCE OF CHINA",0,0,402,23113
VN,VIETNAM,24000,1310743,48000,2693025
SUM,SUM,50000,2949246,288827,16495828
