"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2015', 'Quantity')","('Dec 2015', 'FOB (Baht)')","('Jan - Dec 2015', 'Quantity')","('Jan - Dec 2015', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,360002,20793369
BD,BANGLADESH,0,0,17100,926650
BN,BRUNEI DARUSSALAM,0,0,38000,1603216
KH,CAMBODIA,0,0,13500,815634
CN,CHINA,0,35,1702,202570
IN,INDIA,0,0,64650,1595486
ID,INDONESIA,292000,15542862,4074000,226379786
IQ,IRAQ,0,0,57600,959431
JP,JAPAN,1125,56264,2760,129922
MY,MALAYSIA,12000,948565,124026,10084341
NL,NETHERLANDS,0,0,4865,500348
PK,PAKISTAN,75,25648,26075,2319567
TW,"TAIWAN, PROVINCE OF CHINA",125,21737,2250,277650
US,UNITED STATES,0,0,1302,191329
VN,VIETNAM,0,0,143150,4173317
SUM,SUM,305325,16595111,4930982,270952616
