"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2020', 'Quantity')","('Dec 2020', 'FOB (Baht)')","('Jan - Dec 2020', 'Quantity')","('Jan - Dec 2020', 'FOB (Baht)')"
CA,CANADA,0,0,800,20205
CN,CHINA,37400,2012756,916150,23199558
HK,HONG KONG,0,0,850,27650
IN,INDIA,4000,131848,379200,44690305
ID,INDONESIA,46600,2064682,556423,24925578
JP,JAPAN,0,0,3000,147096
KE,KENYA,0,0,16500,337192
KR,"KOREA,REPUBLIC OF",0,0,8000,840897
MY,MALAYSIA,0,0,1500,189584
MX,MEXICO,66750,2374198,165750,6830706
PK,PAKISTAN,0,0,500,20641
TW,"TAIWAN, PROVINCE OF CHINA",0,0,74759,1432143
US,UNITED STATES,0,0,800,56299
VN,VIETNAM,10475,557772,236875,8100942
SUM,SUM,165225,7141256,2361107,110818796
