"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Dec 2012', 'Quantity')","('Dec 2012', 'FOB (Baht)')","('Jan - Dec 2012', 'Quantity')","('Jan - Dec 2012', 'FOB (Baht)')"
AU,AUSTRALIA,15015,1947531,142200,12442911
BD,BANGLADESH,0,0,5000,745148
CN,CHINA,4720,257655,59665,4986162
EG,EGYPT,0,0,3000,229433
ET,ETHIOPIA,0,0,32000,884457
HK,HONG KONG,0,0,2060,124562
IN,INDIA,13231,1481434,167771,15032402
ID,INDONESIA,2100,240097,4280,482643
JP,JAPAN,0,0,22309,1962250
KR,"KOREA,REPUBLIC OF",0,0,21880,1421506
MY,MALAYSIA,1100,71631,23705,1653047
MM,MYANMAR,0,0,600,79152
NZ,NEW ZEALAND,0,0,24750,2941393
PH,PHILIPPINES,0,0,210650,10719037
SG,SINGAPORE,0,0,40,12025
LK,SRI LANKA,0,0,4400,312732
TW,"TAIWAN, PROVINCE OF CHINA",0,0,30925,1111051
AE,UNITED ARAB EMIRATES,13000,1568651,63000,6031628
US,UNITED STATES,0,0,0,31
VN,VIETNAM,0,0,8620,653812
SUM,SUM,49166,5566999,826855,61825382
