"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2016', 'Quantity')","('May 2016', 'FOB (Baht)')","('Jan - May 2016', 'Quantity')","('Jan - May 2016', 'FOB (Baht)')"
KH,CAMBODIA,0,0,116000,3691811
CN,CHINA,28200,2253733,69850,5496304
IN,INDIA,282900,21938743,1217975,89926427
ID,INDONESIA,0,0,35000,2645383
JP,JAPAN,75,2658,4087,403439
MY,MALAYSIA,0,0,22500,2946449
MM,MYANMAR,0,0,29,63800
PH,PHILIPPINES,27025,1611498,238100,16094031
VN,VIETNAM,200,5757,200,5757
SUM,SUM,338400,25812389,1703741,121273401
