"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2017', 'Quantity')","('May 2017', 'FOB (Baht)')","('Jan - May 2017', 'Quantity')","('Jan - May 2017', 'FOB (Baht)')"
AU,AUSTRALIA,774370,36522257,1929160,95640167
BD,BANGLADESH,386100,17903069,430650,20055474
BE,BELGIUM,118800,7140402,198000,11985910
BT,BHUTAN,0,0,247500,11719938
CN,CHINA,27523820,1248302046,51160640,2451164444
DE,GERMANY,60,15672,1435,101086
HK,HONG KONG,112100,6722472,203900,11983013
IN,INDIA,5116700,234964305,10396050,492492101
ID,INDONESIA,6876775,315484359,14009975,659542821
JP,JAPAN,8383000,413083242,14252700,715303895
KR,"KOREA,REPUBLIC OF",1417700,89888688,3134725,194693281
MY,MALAYSIA,1212860,59162086,3572570,166544424
MM,MYANMAR,0,0,74250,3166523
NP,NEPAL,60,12388,44610,2384728
NZ,NEW ZEALAND,539790,26297271,1057400,52420464
PK,PAKISTAN,168500,7776389,356600,17238949
PH,PHILIPPINES,944250,38896792,1958400,85304662
SG,SINGAPORE,346125,21321407,821025,48159418
LK,SRI LANKA,24750,1210231,149000,7340336
TW,"TAIWAN, PROVINCE OF CHINA",1081175,54367275,2134165,107984021
US,UNITED STATES,129100,7336332,146700,8365892
VN,VIETNAM,973100,70600777,1981750,135310993
SUM,SUM,56129135,2657007460,108261205,5298902540
