"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2018', 'Quantity')","('Apr 2018', 'FOB (Baht)')","('Jan - Apr 2018', 'Quantity')","('Jan - Apr 2018', 'FOB (Baht)')"
BD,BANGLADESH,8000,380687,70500,2618673
BN,BRUNEI DARUSSALAM,7000,297828,12000,507014
CN,CHINA,126975,2852625,137425,5337913
IN,INDIA,16000,933925,50000,2876715
ID,INDONESIA,480000,20547020,1991000,86510813
JP,JAPAN,303,15915,1007,63727
PK,PAKISTAN,0,0,2800,277980
SG,SINGAPORE,0,0,11,1106
TW,"TAIWAN, PROVINCE OF CHINA",0,0,39,23070
TR,TÜRKIYE,1800,139819,4800,369437
US,UNITED STATES,4625,369993,12025,932118
VN,VIETNAM,100,16711,100,16711
SUM,SUM,644803,25554523,2281707,99535277
