"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Feb 2015', 'Quantity')","('Feb 2015', 'FOB (Baht)')","('Jan - Feb 2015', 'Quantity')","('Jan - Feb 2015', 'FOB (Baht)')"
CN,CHINA,344635,18349920,383635,20223646
IN,INDIA,3450,437802,13030,1531464
ID,INDONESIA,24000,2050288,36300,3315482
JP,JAPAN,9000,422612,9125,423934
MY,MALAYSIA,5000,566265,13050,1200024
MM,MYANMAR,0,0,300,37224
NZ,NEW ZEALAND,8625,627419,8625,627419
LK,SRI LANKA,0,0,11,32
VN,VIETNAM,1000,69303,1500,109086
SUM,SUM,395710,22523609,465576,27468311
