"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('Apr 2019', 'Quantity')","('Apr 2019', 'FOB (Baht)')","('Jan - Apr 2019', 'Quantity')","('Jan - Apr 2019', 'FOB (Baht)')"
BD,BANGLADESH,0,0,3000,168672
BN,BRUNEI DARUSSALAM,10000,398070,20000,817718
CN,CHINA,53000,403724,134001,2035678
IN,INDIA,0,0,49000,2919538
ID,INDONESIA,100,17151,400,40415
JP,JAPAN,425,17291,2260,125583
KR,"KOREA,REPUBLIC OF",850,82293,925,95785
LA,LAO PDR,6000,237117,36000,1443935
MY,MALAYSIA,56686,238870,56686,238870
PG,PAPUA NEW GUINEA,0,0,30,3093
SG,SINGAPORE,26,393,1026,8126
TW,"TAIWAN, PROVINCE OF CHINA",0,0,375,59603
TR,TÜRKIYE,12000,917098,48600,3782133
US,UNITED STATES,13875,1149105,28675,2327258
VN,VIETNAM,0,0,61200,2778349
SUM,SUM,152962,3461112,442178,16844756
