"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2016', 'Quantity')","('May 2016', 'FOB (Baht)')","('Jan - May 2016', 'Quantity')","('Jan - May 2016', 'FOB (Baht)')"
AU,AUSTRALIA,154920,13102472,637500,50458772
AT,AUSTRIA,100,107008,100,107008
BD,BANGLADESH,0,0,108340,7355174
BE,BELGIUM,158400,9855118,237600,15543692
CN,CHINA,7263780,440585215,49642534,3204803193
ET,ETHIOPIA,0,0,16000,470906
FJ,FIJI,0,0,30500,1393865
DE,GERMANY,1900,52032,180100,12544751
GH,GHANA,0,0,31000,775000
HK,HONG KONG,66300,4280123,460924,26697809
IN,INDIA,1986950,90475266,7924740,406187592
ID,INDONESIA,469225,32972892,2119195,149965995
JP,JAPAN,2138740,128833947,13531549,838610494
KR,"KOREA,REPUBLIC OF",968075,67790601,3902265,283803504
LA,LAO PDR,8000,424978,43925,1676759
MY,MALAYSIA,116105,8689909,732355,56605482
MU,MAURITIUS,0,0,34100,908613
MM,MYANMAR,4435,563940,4885,578940
NP,NEPAL,19800,1317877,19800,1317877
NZ,NEW ZEALAND,8000,661711,104850,8630198
PK,PAKISTAN,0,0,240,71825
PG,PAPUA NEW GUINEA,0,0,50,7459
PH,PHILIPPINES,0,0,154500,10197129
SA,SAUDI ARABIA,0,0,15000,1375376
SG,SINGAPORE,244365,17128508,1068400,75343798
ZA,SOUTH AFRICA,2100,682909,8600,1779677
ES,SPAIN,0,0,300,21352
LK,SRI LANKA,19800,1383295,96850,5375292
TW,"TAIWAN, PROVINCE OF CHINA",379850,24684141,2032721,130485557
US,UNITED STATES,0,208,120419,8237586
VN,VIETNAM,569425,42170189,2827205,213413646
SUM,SUM,14580270,885762339,86086547,5514744321
