"('COUNTRY', 'COUNTRY')","('COUNTRY', 'COUNTRY.1')","('May 2022', 'Quantity')","('May 2022', 'FOB (Baht)')","('Jan - May 2022', 'Quantity')","('Jan - May 2022', 'FOB (Baht)')"
AU,AUSTRALIA,0,0,32000,1257891
BH,BAHRAIN,11500,320914,38700,1015297
CA,CANADA,16000,685937,16000,685937
IN,INDIA,148500,7199087,346500,15387519
ID,INDONESIA,198000,10010907,396000,18657820
MY,MALAYSIA,0,0,24750,1029340
MM,MYANMAR,0,0,30000,1308705
ZA,SOUTH AFRICA,0,0,49300,2573160
VN,VIETNAM,0,0,50,2112
SUM,SUM,374000,18216845,933300,41917781
